date,stock_id,s_prev,s_sell,s_buy,s_ret,s_balance,s_limit,sbl_prev,sbl_sell,sbl_return,sbl_adj,sbl_balance,sbl_limit,note
2024-12-12,00762,0,0,0,0,0,10312000,441000,0,0,0,441000,84529,
2024-12-12,00763U,0,0,0,0,0,6641250,263000,0,0,0,263000,54445,
2024-12-12,00770,2000,0,0,0,2000,15239500,2163000,0,0,0,2163000,250269,
2024-12-12,00771,0,0,0,0,0,4431250,50000,0,0,0,50000,9510,
2024-12-12,00775B,0,0,0,0,0,52400000,1000,0,0,0,1000,15974,X
2024-12-12,00783,7000,0,0,0,7000,3757750,365000,0,0,0,365000,109831,
2024-12-12,00830,207000,4000,7000,0,204000,170991250,10159000,150000,0,0,10309000,2788710,
2024-12-12,00850,0,0,0,0,0,106986000,7912000,0,0,0,7912000,416384,
2024-12-12,00851,0,0,0,0,0,1631250,69000,0,0,0,69000,12197,
2024-12-12,00852L,159000,1000,3000,0,157000,2966250,234000,0,0,0,234000,229112,
2024-12-12,00861,0,0,0,0,0,23853000,658000,0,0,0,658000,126328,
2024-12-12,00865B,0,0,0,0,0,4061000,52000,0,0,0,52000,57523,
2024-12-12,00875,0,0,0,0,0,3872000,318000,0,0,0,318000,44831,
2024-12-12,00876,0,0,0,0,0,26381000,939000,0,0,0,939000,50150,
2024-12-12,00878,75000,11000,0,0,86000,4193697500,154770000,0,1734000,0,153036000,30138568,
2024-12-12,00881,51000,0,0,0,51000,622100750,15977000,0,871000,0,15106000,3386737,
2024-12-12,00882,41000,25000,1000,0,65000,760962250,31176000,221000,0,0,31397000,5510431,
2024-12-12,00885,38000,1000,2000,0,37000,414059500,14783000,0,0,0,14783000,1357198,
2024-12-12,00891,7000,2000,0,0,9000,274647500,14390000,0,0,0,14390000,2360582,
2024-12-12,00892,0,0,0,0,0,91448000,6273000,0,0,0,6273000,659655,
2024-12-12,00893,148000,5000,1000,0,152000,132971000,5934000,7000,0,0,5941000,961116,
2024-12-12,00894,0,0,0,0,0,22252250,2343000,0,0,0,2343000,427943,
2024-12-12,00895,65000,2000,1000,0,66000,52354000,3681000,0,0,0,3681000,583661,
2024-12-12,00896,0,0,0,0,0,54845000,2042000,0,0,0,2042000,231617,X
2024-12-12,00897,0,0,0,0,0,52128000,4231000,0,0,0,4231000,263203,
2024-12-12,00898,0,0,0,0,0,55994000,737000,0,0,0,737000,137481,
2024-12-12,00899,1000,0,0,0,1000,7783750,556000,0,0,0,556000,74606,
2024-12-12,00900,0,0,0,0,0,484881250,42315000,33000,0,0,42348000,1701048,X
2024-12-12,00901,0,0,0,0,0,21712250,1329000,0,0,0,1329000,338197,
2024-12-12,00902,16000,0,0,0,16000,128499250,8775000,0,0,0,8775000,661810,
2024-12-12,00903,3000,0,0,0,3000,30930250,2098000,0,0,0,2098000,444781,
2024-12-12,00904,0,0,0,0,0,27653000,2075000,0,0,0,2075000,265583,
2024-12-12,00905,8000,0,0,0,8000,130956750,10721000,0,0,0,10721000,1695852,
2024-12-12,00907,0,0,0,0,0,75658250,4531000,0,0,0,4531000,761184,
2024-12-12,00908,0,0,0,0,0,10604000,2252000,0,70000,0,2182000,127931,
2024-12-12,00909,56000,5000,1000,0,60000,27801000,2577000,0,0,0,2577000,1990387,
2024-12-12,00910,6000,0,0,0,6000,2984750,67000,1000,0,0,68000,183847,
2024-12-12,00911,0,0,0,0,0,7975750,281000,0,0,0,281000,160391,
2024-12-12,00912,0,0,0,0,0,19688250,1289000,0,0,0,1289000,374909,
2024-12-12,00913,0,0,0,0,0,3316500,26000,0,0,0,26000,75739,
2024-12-12,00915,0,0,0,0,0,382495750,25593000,9000,0,0,25602000,5151362,X
2024-12-12,00916,0,0,0,0,0,17729750,2227000,0,0,0,2227000,169197,
2024-12-12,00917,0,0,0,0,0,5869500,515000,0,0,0,515000,190349,
2024-12-12,00918,3000,0,1000,0,2000,590441000,26517000,938000,0,0,27455000,8215776,X
2024-12-12,00919,89000,0,10000,0,79000,3223908750,212375000,460000,1000,0,212834000,19075187,
2024-12-12,00920,0,0,0,0,0,3070000,419000,0,0,0,419000,54070,
