# commit=bd3d8e5cb run=2026-09-15 22:10 (Asia/Taipei) prereg=backtest/P4_v3_回溯分析.md centers=centers_v3.json(23be85b004977222)
period,H,type,n_rows,p05,p10,p25,p50,p75,p90,p95,win_rate,excess_pp
擬合窗／追認格,120,①營收＋回檔,1467,-41.12246319331453,-33.059891526868434,-19.863752587505758,-4.996429997581947,15.189404693764896,44.48734697430835,73.93070411234116,0.4403544648943422,3.7760853264125127
擬合窗／追認格,120,②正在噴出,4972,-37.3914122931318,-30.024732727292207,-18.25876545076122,-3.899698961240249,14.476105230690639,41.1918779391869,66.72199010413857,0.42960579243765085,3.8794162481573413
擬合窗／追認格,120,③純技術＋回檔,4338,-38.05606907866438,-31.347806507454596,-19.602300951999364,-6.158507673924242,10.555571452502047,36.29576879195071,58.34001698011427,0.38911940986629784,-0.697796153362102
擬合窗／追認格,120,④死水,7249,-35.48723169364424,-27.858897212552975,-17.15244707113454,-5.675339428045559,7.588829107401596,23.080141271906786,36.38553260581634,0.37784522003034904,-2.769503029368113
第二層,20,①營收＋回檔,775,-16.741702451488237,-13.70624915142632,-8.48691326165664,-1.1787012219160915,8.189158502078609,21.99802929645767,32.06246892625831,0.4632258064516129,1.8255531989769056
第二層,20,②正在噴出,1826,-19.76389164709739,-15.691198710945715,-9.601159302688558,-2.3657463728156185,7.509101307868149,21.863956586727273,37.267734344677294,0.4194961664841183,0.8956940787182536
第二層,20,③純技術＋回檔,2392,-16.416778974777053,-13.395761874753001,-8.299002466283886,-2.0882391103856524,5.143323139427469,15.47435780577061,24.932299362682233,0.407190635451505,0.040216359611064054
第二層,20,④死水,3777,-14.372268109419387,-11.462722041482664,-7.103632317379076,-2.2839403231610995,3.2042493075978395,10.011367026834865,15.645785138160354,0.38602065131056396,-1.1069517964364197
第二層,60,①營收＋回檔,775,-35.103286278542065,-26.817433378923923,-15.439842346716365,-0.9507265411185684,24.30709732869872,55.75440562549079,92.9718990918023,0.4864516129032258,9.898240951062144
第二層,60,②正在噴出,1826,-36.98941054427748,-29.910677691010758,-17.74285874111097,-3.8602275053878143,17.61463651086215,53.65996833806235,82.36634105711343,0.44359255202628695,4.051112497411373
第二層,60,③純技術＋回檔,2392,-35.47195551965653,-28.18888928966906,-17.620259630996976,-6.689435684472558,8.503093612163248,31.140570431803365,54.39353585874893,0.37834448160535117,-0.05958332699588652
第二層,60,④死水,3777,-36.852182548671905,-29.542342255099275,-18.730754987562637,-7.845977051813103,4.658212928843186,19.267515982702314,33.58903819242717,0.3328038125496426,-5.134027059177556
第二層,120,①營收＋回檔,775,-54.50837818816545,-44.53847406588541,-26.26104833283669,-2.0465774550367524,43.26023382852959,100.16217787729758,147.481678028931,0.47483870967741937,19.725993674141904
第二層,120,②正在噴出,1826,-59.18894633893377,-48.27599845837836,-29.902968249310856,-7.143697848581268,29.168850176744193,83.78130758524284,132.16327927162993,0.43921139101861995,4.927905288495559
第二層,120,③純技術＋回檔,2392,-53.58410821793132,-45.53139283168152,-31.034205451992435,-13.235350383894263,12.6370616906238,59.44712859445996,105.89392251976003,0.3511705685618729,0.9413270944781131
第二層,120,④死水,3777,-57.03511703258404,-47.80259131008223,-31.725596496103954,-14.664706160580751,3.5421546790405127,32.53752476886649,63.552542423806514,0.2885888271114641,-8.8209045392825
