畫法,版本,r,抽出,保留,剔除_硬斷點,剔除_T+1停牌,平均X,中位X,lo,hi,n_eff,判過,判過_正,判過_負
乙,不排除（描述）,8,2227,2226,1,0,-0.0007245891933354496,0.00012155650375713159,-0.003625522866446995,0.002176344479776096,133,False,False,False
乙,不排除（描述）,9,2227,2226,1,0,0.0007488918027745436,-0.0005771901591520535,-0.002385810320617574,0.0038835939261666614,133,False,False,False
乙,不排除（描述）,10,2227,2226,1,0,0.0017608649886300626,0.0019042055030687906,-0.0015670141711994813,0.005088744148459607,133,False,False,False
乙,不排除（描述）,11,2227,2227,0,0,0.0017120676968635552,0.0013143361394138738,-0.001303465417378848,0.004727600811105959,133,False,False,False
乙,不排除（描述）,12,2227,2227,0,0,-0.0019425432337856117,-0.002202866144795014,-0.00525348244688598,0.0013683959793147566,133,False,False,False
乙,不排除（描述）,13,2227,2226,1,0,-0.0022314518040277434,-0.0044087256206467255,-0.005421609802182598,0.0009587061941271112,133,False,False,False
乙,不排除（描述）,14,2227,2226,0,1,-0.0007667082559139203,-0.0017513925997771095,-0.0043583330989946205,0.00282491658716678,133,False,False,False
乙,不排除（描述）,15,2227,2227,0,0,-0.0004864465327494995,-0.0015834720100850602,-0.0035820606099629003,0.002609167544463901,133,False,False,False
乙,不排除（描述）,16,2227,2226,1,0,-0.0027185929840170945,-0.0025345135379270267,-0.0055700691152624614,0.00013288314722827285,133,False,False,False
乙,不排除（描述）,17,2227,2227,0,0,-0.0011600129329171417,-0.004274671374550822,-0.004247351011458716,0.001927325145624432,133,False,False,False
乙,不排除（描述）,18,2227,2226,0,1,6.977171403096862e-05,-0.00021696358249692627,-0.003295780581745769,0.0034353240098077063,133,False,False,False
乙,不排除（描述）,19,2227,2227,0,0,3.203011457539765e-05,-0.002499705044557643,-0.00316710746569619,0.003231167694846985,133,False,False,False
乙,不排除（描述）,20,2227,2225,2,0,-0.0001154821706243392,-0.002852225044923856,-0.003045214555162579,0.0028142502139139004,133,False,False,False
乙,不排除（描述）,21,2227,2227,0,0,0.0026601853902479323,-0.00015309172416778927,-0.0008405447199611288,0.006160915500456993,133,False,False,False
乙,不排除（描述）,22,2227,2227,0,0,0.0006248871872083659,0.00026962519253939665,-0.002673910802812229,0.00392368517722896,133,False,False,False
乙,不排除（描述）,23,2227,2226,1,0,-0.0032042183713928444,-0.0034350165326576462,-0.00611678246320305,-0.0002916542795826384,133,True,False,True
乙,不排除（描述）,24,2227,2225,2,0,0.0034811655709118166,0.0028681683953588055,0.00022405049616561678,0.006738280645658016,133,True,True,False
乙,不排除（描述）,25,2227,2226,1,0,-0.0014716743591175311,-0.0029394191071668158,-0.004296492685573974,0.0013531439673389117,133,False,False,False
乙,不排除（描述）,26,2227,2226,0,1,-0.0016324699204355061,-0.003250335904802528,-0.005101853272057755,0.001836913431186743,133,False,False,False
乙,不排除（描述）,27,2227,2226,1,0,-0.0018407001916487017,-0.0012634363817360487,-0.0046921424678015074,0.0010107420845041038,133,False,False,False
乙,不排除（描述）,28,2227,2227,0,0,-0.0037223115678533276,-0.003843669781497694,-0.006786588307498504,-0.0006580348282081514,133,True,False,True
乙,不排除（描述）,29,2227,2227,0,0,-0.003157027129876244,-0.004621747036009111,-0.006177218808129747,-0.00013683545162274102,133,True,False,True
丙,新預設_只排除過去20日,0,7141,7138,3,0,-0.002336276345512414,-0.0044066085985882825,-0.004122203212310443,-0.0005503494787143846,133,True,False,True
丙,新預設_只排除過去20日,1,7141,7141,0,0,-0.0038427886725689595,-0.0035567452094714194,-0.0057773765149838835,-0.0019082008301540352,133,True,False,True
丙,新預設_只排除過去20日,2,7141,7139,2,0,-0.0013547957797669856,-0.0035923663830863158,-0.0032906571421955073,0.0005810655826615362,133,False,False,False
丙,新預設_只排除過去20日,3,7141,7141,0,0,-0.003993851339060885,-0.004156167694354845,-0.006109672107654429,-0.0018780305704673415,133,True,False,True
丙,新預設_只排除過去20日,4,7141,7140,1,0,-0.0029863826954270967,-0.003848131545680141,-0.004898033118258951,-0.0010747322725952425,133,True,False,True
丙,新預設_只排除過去20日,5,7141,7137,4,0,-0.0035652141092107695,-0.003593037674398357,-0.005389979827373483,-0.0017404483910480563,133,True,False,True
丙,新預設_只排除過去20日,6,7141,7138,3,0,-0.0021341362600843174,-0.004015768983700801,-0.004139124516065247,-0.0001291480041033877,133,True,False,True
丙,新預設_只排除過去20日,7,7141,7139,1,1,-0.0024807954763277286,-0.0036027228623771307,-0.004358433825310668,-0.0006031571273447892,133,True,False,True
丙,新預設_只排除過去20日,8,7141,7139,2,0,-0.0024666234016202785,-0.002988187463062772,-0.0042554951668551414,-0.0006777516363854154,133,True,False,True
丙,新預設_只排除過去20日,9,7141,7141,0,0,-0.001341727039211713,-0.002758459391414017,-0.003301655385199808,0.0006182013067763822,133,False,False,False
丙,新預設_只排除過去20日,10,7141,7140,1,0,-0.0023915245764954234,-0.0027683922093660225,-0.004399861690595893,-0.00038318746239495403,133,True,False,True
丙,新預設_只排除過去20日,11,7141,7141,0,0,-0.002688600751911661,-0.0031501405370541876,-0.004458110350496135,-0.0009190911533271868,133,True,False,True
丙,新預設_只排除過去20日,12,7141,7139,1,1,-6.544072328463135e-05,-0.0006512052138228086,-0.0018258112680971219,0.0016949298215278592,133,False,False,False
丙,新預設_只排除過去20日,13,7141,7140,1,0,-0.0023007770227466023,-0.002966704649267006,-0.0041122405800027885,-0.0004893134654904161,133,True,False,True
丙,新預設_只排除過去20日,14,7141,7140,1,0,-0.001299823000800641,-0.0026924457431602156,-0.0032666671560091795,0.0006670211544078973,133,False,False,False
丙,新預設_只排除過去20日,15,7141,7139,2,0,-0.0009373652213717081,-0.0017033196346295243,-0.003060259030437944,0.0011855285876945275,133,False,False,False
丙,新預設_只排除過去20日,16,7141,7141,0,0,-0.002229331620370603,-0.0031604975859845785,-0.004048813624127972,-0.0004098496166132352,133,True,False,True
丙,新預設_只排除過去20日,17,7141,7138,3,0,-0.0018226662718313236,-0.002315957356154653,-0.0037719562674010266,0.00012662372373837953,133,False,False,False
丙,新預設_只排除過去20日,18,7141,7140,1,0,-0.004124201940049265,-0.0027482151854060013,-0.006101064814040621,-0.0021473390660579094,133,True,False,True
丙,新預設_只排除過去20日,19,7141,7137,4,0,-0.002884431202548743,-0.0034286273928459954,-0.0044361968259293855,-0.0013326655791681009,133,True,False,True
丙,新預設_只排除過去20日,20,7141,7140,1,0,-0.004446707623439509,-0.004943744917649748,-0.006200180913516728,-0.0026932343333622892,133,True,False,True
丙,新預設_只排除過去20日,21,7141,7141,0,0,-0.002838684928382461,-0.004420141089071461,-0.004449780782588954,-0.0012275890741759673,133,True,False,True
丙,新預設_只排除過去20日,22,7141,7141,0,0,-0.0006674275383130831,-0.0009665170601665801,-0.0023423130730807267,0.0010074579964545606,133,False,False,False
丙,新預設_只排除過去20日,23,7141,7140,1,0,-0.0015947210939590453,-0.002510339648652855,-0.0035171236093255818,0.0003276814214074912,133,False,False,False
丙,新預設_只排除過去20日,24,7141,7139,1,1,-0.0036024835158829107,-0.003923804926803802,-0.005586240590505512,-0.0016187264412603091,133,True,False,True
丙,新預設_只排除過去20日,25,7141,7139,1,1,-0.001997257368115232,-0.00214041057143588,-0.0038222162964414103,-0.0001722984397890539,133,True,False,True
丙,新預設_只排除過去20日,26,7141,7139,2,0,-0.002802571762631265,-0.0030903133394604874,-0.0047429506890112666,-0.0008621928362512628,133,True,False,True
丙,新預設_只排除過去20日,27,7141,7134,7,0,-0.0016240183181816697,-0.001469087068051273,-0.0034452934051335425,0.00019725676877020292,133,False,False,False
丙,新預設_只排除過去20日,28,7141,7139,2,0,-0.0033048701601389742,-0.003599501100237743,-0.005273241477194303,-0.0013364988430836452,133,True,False,True
丙,新預設_只排除過去20日,29,7141,7137,3,1,-0.0026376371283871256,-0.00381023913683216,-0.004400996882207928,-0.000874277374566323,133,True,False,True
丙,不排除（描述）,0,7141,7140,1,0,-0.0011111783065081001,-0.0021481431599220807,-0.002939797323652584,0.0007174407106363839,133,False,False,False
丙,不排除（描述）,1,7141,7138,2,1,-0.0038899507034981587,-0.004637614455291062,-0.005759030967966963,-0.0020208704390293547,133,True,False,True
丙,不排除（描述）,2,7141,7141,0,0,-0.0019444161356673214,-0.0019831635730314327,-0.003614975518613132,-0.00027385675272151105,133,True,False,True
丙,不排除（描述）,3,7141,7140,1,0,-0.0019073718885475855,-0.002988467619327466,-0.003872423655425448,5.767987833027715e-05,133,False,False,False
丙,不排除（描述）,4,7141,7138,3,0,-0.0024717913300969564,-0.004202721646724845,-0.004569852902856008,-0.0003737297573379052,133,True,False,True
丙,不排除（描述）,5,7141,7140,1,0,-0.0016272438073654898,-0.001822704040657066,-0.003511114902577441,0.00025662728784646123,133,False,False,False
丙,不排除（描述）,6,7141,7140,1,0,0.00045996357802606443,-0.002561262206484731,-0.0017634127848419456,0.0026833399408940743,133,False,False,False
丙,不排除（描述）,7,7141,7140,1,0,-0.000702760813566873,-0.001970138843569799,-0.002717241439863143,0.001311719812729397,133,False,False,False
丙,不排除（描述）,8,7141,7140,1,0,-0.003018007396930309,-0.005039224653406517,-0.00487793399841281,-0.0011580807954478076,133,True,False,True
丙,不排除（描述）,9,7141,7141,0,0,-0.002295337180508365,-0.002949827410849976,-0.004107448371187645,-0.00048322598982908425,133,True,False,True
丙,不排除（描述）,10,7141,7139,2,0,-0.00023886159328094018,-0.0015193208299344,-0.002192533164450213,0.0017148099778883325,133,False,False,False
丙,不排除（描述）,11,7141,7141,0,0,-0.0021423513280854523,-0.0019280935640225566,-0.0038847224529517514,-0.0003999802032191532,133,True,False,True
丙,不排除（描述）,12,7141,7139,1,1,-0.001858457272222592,-0.0026747265593769624,-0.003919464172337492,0.00020254962789230803,133,False,False,False
丙,不排除（描述）,13,7141,7139,2,0,-0.0032474318433957207,-0.0036402294443829506,-0.005263100149386779,-0.0012317635374046627,133,True,False,True
丙,不排除（描述）,14,7141,7137,3,1,-0.0025316637346114407,-0.0037420554155725046,-0.00428232084080501,-0.0007810066284178712,133,True,False,True
丙,不排除（描述）,15,7141,7137,4,0,-0.0015927219212321696,-0.0033310838063307768,-0.0033226069320958923,0.00013716308963155287,133,False,False,False
丙,不排除（描述）,16,7141,7141,0,0,-0.0009759324372890848,-0.0016021640223501596,-0.0028379605926653435,0.0008860957180871739,133,False,False,False
丙,不排除（描述）,17,7141,7140,1,0,-0.0007583065128640151,-0.0012630652381320634,-0.002499597896438471,0.0009829848707104405,133,False,False,False
