period,market,url,self_period,rows,distinct_codes,no_sector
2013-01,twse,t21sc03_102_1.html,102年1月,833,833,0
2013-02,tpex,t21sc03_102_2.html,102年2月,629,629,0
2013-02,twse,t21sc03_102_2.html,102年2月,833,833,0
2013-03,tpex,t21sc03_102_3.html,102年3月,630,630,0
2013-03,twse,t21sc03_102_3.html,102年3月,833,833,0
2013-04,tpex,t21sc03_102_4.html,102年4月,631,631,0
2013-04,twse,t21sc03_102_4.html,102年4月,833,833,0
2013-05,tpex,t21sc03_102_5.html,102年5月,632,632,0
2013-05,twse,t21sc03_102_5.html,102年5月,833,833,0
2013-06,tpex,t21sc03_102_6.html,102年6月,633,633,0
2013-06,twse,t21sc03_102_6.html,102年6月,834,834,0
2013-07,tpex,t21sc03_102_7.html,102年7月,636,636,0
2013-07,twse,t21sc03_102_7.html,102年7月,835,835,0
2013-08,tpex,t21sc03_102_8.html,102年8月,637,637,0
2013-08,twse,t21sc03_102_8.html,102年8月,835,835,0
2013-09,tpex,t21sc03_102_9.html,102年9月,639,639,0
2013-09,twse,t21sc03_102_9.html,102年9月,837,837,0
2013-10,tpex,t21sc03_102_10.html,102年10月,642,642,0
2013-10,twse,t21sc03_102_10.html,102年10月,840,840,0
2013-11,tpex,t21sc03_102_11.html,102年11月,646,646,0
2013-11,twse,t21sc03_102_11.html,102年11月,847,847,0
2013-12,tpex,t21sc03_102_12.html,102年12月,646,646,0
2013-12,twse,t21sc03_102_12.html,102年12月,848,848,0
2014-01,tpex,t21sc03_103_1.html,103年1月,650,650,0
2014-01,twse,t21sc03_103_1.html,103年1月,852,852,0
2014-02,tpex,t21sc03_103_2.html,103年2月,651,651,0
2014-02,twse,t21sc03_103_2.html,103年2月,853,853,0
2014-03,tpex,t21sc03_103_3.html,103年3月,651,651,0
2014-03,twse,t21sc03_103_3.html,103年3月,853,853,0
2014-04,tpex,t21sc03_103_4.html,103年4月,654,654,0
2014-04,twse,t21sc03_103_4.html,103年4月,853,853,0
2014-05,tpex,t21sc03_103_5.html,103年5月,654,654,0
2014-05,twse,t21sc03_103_5.html,103年5月,853,853,0
2014-06,tpex,t21sc03_103_6.html,103年6月,656,656,0
2014-06,twse,t21sc03_103_6.html,103年6月,855,855,0
2014-07,tpex,t21sc03_103_7.html,103年7月,657,657,0
2014-07,twse,t21sc03_103_7.html,103年7月,858,858,0
2014-08,tpex,t21sc03_103_8.html,103年8月,661,661,0
2014-08,twse,t21sc03_103_8.html,103年8月,862,862,0
2014-09,tpex,t21sc03_103_9.html,103年9月,667,667,0
2014-09,twse,t21sc03_103_9.html,103年9月,863,863,0
2014-10,tpex,t21sc03_103_10.html,103年10月,670,670,0
2014-10,twse,t21sc03_103_10.html,103年10月,867,867,0
2014-11,tpex,t21sc03_103_11.html,103年11月,671,671,0
2014-11,twse,t21sc03_103_11.html,103年11月,869,869,0
2014-12,tpex,t21sc03_103_12.html,103年12月,678,678,0
2014-12,twse,t21sc03_103_12.html,103年12月,872,872,0
