族,格,年化,回落,錨年化,錨回落,錨出處,格捨入,錨捨入,註,新判準標籤,捨入內不定,比值,錨比值,年化差pp,回落差pp（負＝比0050深）,年化波動
PREREG11／研究十三b,S｜regime=False｜N30｜H120,0.1940083372596169,-0.3765162383207948,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,不合格,False,0.5152721649532689,0.7294117647058823,-5.399166274038311,-3.651623832079476,未存
PREREG11／研究十三b,S｜regime=False｜N30｜LD,0.1717005078781612,-0.3028863568295593,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,不合格,False,0.5668809571861331,0.7294117647058823,-7.629949212183878,3.7113643170440747,未存
PREREG11／研究十三b,S｜regime=False｜N40｜H60,0.2308599032017541,-0.3670064713020353,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,不合格,False,0.6290349660122568,0.7294117647058823,-1.7140096798245907,-2.700647130203526,未存
PREREG11／研究十三b,S｜regime=False｜N40｜H120,0.2036030490894927,-0.3747572874607457,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,不合格,False,0.5432931017007089,0.7294117647058823,-4.43969509105073,-3.475728746074569,未存
PREREG11／研究十三b,S｜regime=False｜N40｜LD,0.1783766557638894,-0.2838594945181696,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,不合格,False,0.6283977080515503,0.7294117647058823,-6.962334423611061,5.614050548183042,未存
PREREG11／研究十三b,S｜regime=True｜N30｜H60,0.1528136818733443,-0.3259306089457825,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,不合格,False,0.46885342364013544,0.7294117647058823,-9.518631812665571,1.4069391054217506,未存
PREREG11／研究十三b,S｜regime=True｜N30｜H120,0.2169231305426925,-0.4077250660133933,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,不合格,False,0.5320328540594725,0.7294117647058823,-3.1076869457307503,-6.7725066013393285,未存
PREREG11／研究十三b,S｜regime=True｜N30｜LD,0.1734698427127369,-0.2471786580848027,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,不合格,False,0.7017994355047531,0.7294117647058823,-7.453015728726308,9.282134191519734,未存
PREREG11／研究十三b,S｜regime=True｜N40｜H60,0.1530813565566599,-0.3157997440138753,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,不合格,False,0.48474186397672936,0.7294117647058823,-9.491864344334012,2.420025598612474,未存
PREREG11／研究十三b,S｜regime=True｜N40｜H120,0.2026734720994061,-0.4136523400353485,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,不合格,False,0.48996089828015166,0.7294117647058823,-4.532652790059391,-7.365234003534848,未存
