open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1649203200000,444.590,444.670,418.040,419.930,1263497.48,1649289599999,545824552.00639,848748,583065.49,251890638.06377,0
1649289600000,419.870,438.430,416.010,435.780,1094866.90,1649375999999,470976013.28925,759213,537062.88,231040880.46994,0
1649376000000,435.750,441.000,418.100,421.270,896736.16,1649462399999,385773197.83691,745953,430720.80,185331233.09553,0
1649462400000,421.230,427.980,419.500,426.480,466443.41,1649548799999,197614723.39701,443589,223885.02,94858751.41937,0
1649548800000,426.480,429.540,416.540,417.750,597495.62,1649635199999,253219814.37262,464473,283145.03,120041704.85864,0
1649635200000,417.740,419.430,391.000,394.250,1225224.67,1649721599999,497159750.36306,793444,580221.02,235416789.23840,0
1649721600000,394.250,416.810,392.100,413.470,1157766.33,1649807999999,472479170.44523,824990,584342.71,238507589.05575,0
1649808000000,413.470,424.490,410.080,423.020,1256009.65,1649894399999,524477423.99614,836900,639676.58,267158662.53832,0
1649894400000,423.030,426.870,411.100,414.580,760757.57,1649980799999,317959205.63171,599048,381716.69,159558096.03640,0
1649980800000,414.580,419.860,412.410,416.940,560730.82,1650067199999,233610557.68110,406757,277057.40,115427357.41100,0
1650067200000,416.950,418.890,411.500,417.140,400183.81,1650153599999,166179045.10730,309806,193353.88,80292069.69090,0
1650153600000,417.150,418.200,405.280,406.370,488529.64,1650239999999,202106421.04318,354609,229242.64,94884917.89920,0
1650240000000,406.370,417.850,395.750,416.670,964721.27,1650326399999,391478212.27594,634304,478138.86,194227960.05339,0
1650326400000,416.700,424.500,414.530,422.160,842773.91,1650412799999,353764468.98814,558395,408579.57,171515712.79564,0
1650412800000,422.150,431.440,414.560,418.030,856260.64,1650499199999,361974656.78431,619057,419574.22,177427136.46797,0
1650499200000,418.020,426.000,400.720,404.670,931774.15,1650585599999,388487539.86369,652635,439547.47,183384361.12800,0
