stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1465,偉全,2018Q1,twse,1654906,682106,2337012,256543,20551,277094,1036073,353488,287855,-47933,,1629483,,,430435,2059918,,0,0,15.73
1466,聚隆,2018Q1,twse,1603622,2081538,3685160,991068,967153,1958221,1111573,452298,169647,-6579,0,1726939,0,,0,1726939,0,0,0,15.54
1467,南緯,2018Q1,twse,3755908,3274730,7030638,3068567,1601877,4670444,2102622,231746,152825,-240370,,2246823,,,113371,2360194,0,0,0,10.69
1468,昶和,2018Q1,twse,1327775,1135958,2463733,901852,556394,1458246,1604053,26753,-718021,63130,,975915,,,29572,1005487,,0,0,6.08
1470,大統新創,2018Q1,twse,665993,448327,1114320,158595,6718,165313,857670,6918,112380,-27961,,949007,,,,949007,,0,0,11.06
1471,首利,2018Q1,twse,1129620,990423,2120043,860849,7432,868281,1504145,3763,-344166,87690,,1251432,,,330,1251762,0,0,0,8.32
1472,三洋實業,2018Q1,twse,339665,553183,892848,511849,35093,546942,426727,0,-63886,-16844,-91,345906,,,,345906,,0,1787,8.11
1473,台南,2018Q1,twse,3759037,2472118,6231155,1713535,702323,2415858,1471535,880358,1493514,-115135,-8808,3721464,,,93833,3815297,0,0,344000,25.35
1474,弘裕,2018Q1,twse,2576466,1410103,3986569,1879403,170904,2050307,1298970,5887,642732,-20991,,1926598,,,9664,1936262,0,0,0,14.83
1475,業旺,2018Q1,twse,115279,29526,144805,79975,2727,82702,160168,188125,-259650,2962,,91605,,,-29502,62103,0,0,0,5.72
1476,儒鴻,2018Q1,twse,10175097,10335117,20510214,4616857,12765,4629622,2743671,3769437,9554925,-187441,,15880592,,,0,15880592,0,0,0,57.88
1477,聚陽,2018Q1,twse,7023202,5250446,12273648,3279861,248528,3528389,2093872,3544777,3194339,-188714,,8644274,,,100985,8745259,0,0,0,41.28
1503,士電,2018Q1,twse,14851652,23361262,38212914,11248909,3619199,14868108,5209722,2609561,14782186,287454,,22888923,,,455883,23344806,,0,0,43.94
1504,東元,2018Q1,twse,45419803,47956881,93376684,18927001,15359826,34286827,20026929,7628698,25022889,602256,-321563,52959209,,,6130648,59089857,0,0,22443022,26.74
1506,正道,2018Q1,twse,1360860,1460205,2821065,1292993,179877,1472870,1225043,128098,-16145,-82292,,1254704,,,93491,1348195,,0,0,10.24
1512,瑞利,2018Q1,twse,1808267,1926393,3734660,2426392,331259,2757651,2166409,,-1091004,-98396,,977009,,,0,977009,,38200000,0,4.44
1513,中興電,2018Q1,twse,10755005,6839747,17594752,8142789,1749222,9892011,4200000,409877,2823344,113203,-116880,7429544,,,273197,7702741,0,0,9038676,18.08
1514,亞力,2018Q1,twse,3390054,1892380,5282434,2128343,304674,2433017,2010670,62480,720292,36138,-41616,2787964,,,61453,2849417,0,0,2362712,14.03
1515,力山,2018Q1,twse,3092972,2634112,5727084,2685737,546586,3232323,1814735,433,660148,-962,,2474354,,,20407,2494761,0,0,0,13.63
1516,川飛,2018Q1,twse,305461,72148,377609,22284,20,22304,303906,20185,37236,-6022,0,,,,,355305,0,0,0,11.69
1517,利奇,2018Q1,twse,2697926,1923685,4621611,737948,543900,1281848,2278250,60505,940386,-37215,,3241926,,,97837,3339763,,0,0,14.23
1519,華城,2018Q1,twse,4978707,1829825,6808532,2731784,1043362,3775146,2610585,1179,451515,-30921,,3032358,,,1028,3033386,,0,0,11.62
1521,大億,2018Q1,twse,2280348,1483621,3763969,1474159,252332,1726491,762300,60605,1231575,-17002,,2037478,,,,2037478,,0,0,26.73
1522,堤維西,2018Q1,twse,8380462,12387620,20768082,6892440,7055534,13947974,3128979,1377231,2214156,-112735,-5996,6601635,,,218473,6820108,0,0,939707,21.16
1524,耿鼎,2018Q1,twse,1455591,3395626,4851217,1386591,1274450,2661041,1796852,0,391110,2214,0,2190176,0,,0,2190176,0,0,0,12.19
1525,江申,2018Q1,twse,895296,4109857,5005153,703714,168852,872566,734001,1251,3462257,-64922,,4132587,,,,4132587,,0,0,56.30
1526,日馳,2018Q1,twse,1425090,559803,1984893,915604,283132,1198736,500000,,288173,-2016,,786157,0,,0,786157,,0,0,15.72
1527,鑽全,2018Q1,twse,11634014,2064195,13698209,9883496,857123,10740619,1379606,305,1616239,-38560,0,,,,,2957590,,0,0,21.44
1528,恩德,2018Q1,twse,4240530,1487342,5727872,2927514,424132,3351646,1800000,272414,347633,-50183,-7952,2361912,,,14314,2376226,,0,869000,13.19
1529,樂事綠能,2018Q1,twse,396391,346841,743232,78189,2450,80639,5997089,0,-5334496,0,0,662593,0,,0,662593,,0,0,1.10
1530,亞崴,2018Q1,twse,5004302,2656541,7660843,4227030,434091,4661121,965942,250067,1640280,-27002,,2829287,,,170435,2999722,0,0,0,29.29
1531,高林股,2018Q1,twse,3182778,1616541,4799319,665745,264680,930425,1931511,204042,1993152,-65968,-193843,3868894,,,,3868894,0,0,8143000,20.91
1532,勤美,2018Q1,twse,25800292,13938385,39738677,15610453,7738549,23349002,3852521,1523500,6393210,618449,,12387680,,,4001995,16389675,0,0,0,32.15
1533,車王電,2018Q1,twse,3216666,1628950,4845616,1456129,832622,2288751,985475,271128,1290539,-189495,,2357647,,,199218,2556865,0,0,0,23.92
1535,中宇,2018Q1,twse,5870400,1255255,7125655,3563422,473643,4037065,1237426,628374,1285184,-62394,0,3088590,0,,0,3088590,,0,0,24.96
1536,和大,2018Q1,twse,5151424,9446110,14597534,4093364,3595108,7688472,2549565,1916204,2353493,36551,,6855813,,,53249,6909062,0,0,0,26.89
