stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
6203,海韻電,2016Q1,tpex,1802733,228422,2031155,449763,62450,512213,799532,0,714167,5050,0,1518749,,,193,1518942,0,0,0,19.00
6204,艾華,2016Q1,tpex,785506,279590,1065096,109493,82664,192157,360970,0,509811,2158,,872939,,,,872939,,0,0,24.18
6207,雷科,2016Q1,tpex,2712287,507268,3219555,1491670,158697,1650367,839546,132824,469917,87239,,1529526,,,39662,1569188,0,0,0,18.22
6208,日揚,2016Q1,tpex,1286046,889722,2175768,409878,19085,428963,1151088,210837,374572,10308,,1746805,,,,1746805,,0,0,15.18
6210,慶生,2016Q1,tpex,732460,365933,1098393,207662,72523,280185,350480,20025,447703,,,,,,,818208,0,0,0,23.35
6212,理銘,2016Q1,tpex,3340848,71789,3412637,1724137,920,1725057,1020000,0,667580,0,0,,,,,1687580,0,0,0,16.54
6217,中探針,2016Q1,tpex,1608362,334787,1943149,429220,59941,489161,594452,364460,479247,15829,,1453988,,,,1453988,0,0,0,24.46
6218,豪勉,2016Q1,tpex,1016258,419173,1435431,403656,4059,407715,642620,82060,296220,6816,0,1027716,,,0,1027716,,0,0,15.99
6219,富旺,2016Q1,tpex,6425395,90084,6515479,3920655,696224,4616879,1758713,93553,46334,0,,1898600,,,,1898600,,0,0,10.80
6220,岳豐,2016Q1,tpex,3307455,1419788,4727243,1543936,847605,2391541,1331706,685963,321862,86520,-97246,2328805,,,6897,2335702,0,637684,6331000,18.36
6221,晉泰,2016Q1,tpex,1313990,169280,1483270,809855,34753,844608,375331,75012,163780,23034,0,637157,,,1505,638662,0,67250,0,16.99
6222,立軒,2016Q1,tpex,254203,284130,538333,307962,5290,313252,575755,13954,-364242,98,,225565,,,-484,225081,,25000,0,3.92
6223,旺矽,2016Q1,tpex,3383238,3592789,6976027,2877324,352227,3229551,796054,885735,2027162,22603,0,3731554,,,14922,3746476,,0,0,46.88
6227,茂綸,2016Q1,tpex,5211610,62273,5273883,3737618,57945,3795563,761118,112539,587273,17390,,1478320,0,,0,1478320,,0,0,19.42
6228,全譜,2016Q1,tpex,111669,291402,403071,43134,136164,179298,411146,5234,-187023,-5584,0,223773,0,,0,223773,0,0,0,5.44
