stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2941,米斯特,2023Q1,tpex,306854,86879,393733,116766,27734,144500,139900,,42000,67741,-408,,,,,,249233,0,0,0,17.82
2947,振宇五金,2023Q1,tpex,723026,2015430,2738456,645401,1380198,2025599,192686,,314443,205728,,,712857,,,,712857,0,0,0,37.00
2948,寶陞,2023Q1,tpex,1258636,303754,1562390,670936,139438,810374,248100,,185000,315259,3657,,752016,,,,752016,,0,0,30.31
2949,欣新網,2023Q1,tpex,1760857,220174,1981031,1167191,15185,1182376,220000,,216307,235176,-240,,671243,,,127412,798655,,0,0,30.51
3064,泰偉,2023Q1,tpex,131837,256445,388282,38015,233695,271710,433715,,774,-335787,6550,0,105252,,,11320,116572,,0,0,2.43
3066,李洲,2023Q1,tpex,616151,1121011,1737162,413730,123332,537062,830706,,32689,-128548,400365,,1135212,,,64888,1200100,,0,0,13.67
3067,全域,2023Q1,tpex,294639,47008,341647,65629,29454,95083,200000,,18210,42113,-13759,,246564,,,,246564,,0,0,12.33
3071,協禧,2023Q1,tpex,2502900,1249453,3752353,1635856,179754,1815610,1100000,,52040,507034,-85946,-6546,1566582,,,370161,1936743,0,0,409000,14.29
3073,天方能源,2023Q1,tpex,183791,989107,1172898,119529,547566,667095,320996,,84481,49981,19687,,475145,,,30658,505803,,0,0,14.80
3078,僑威,2023Q1,tpex,8773271,2117141,10890412,4524201,454430,4978631,2273911,,214286,3492217,-68633,,5911781,,,,5911781,,0,0,26.00
3081,聯亞,2023Q1,tpex,2340314,2592634,4932948,612104,309551,921655,918677,,1829213,1294158,-30755,,,,,,4011293,,0,0,43.66
3083,網龍,2023Q1,tpex,864533,410890,1275423,100009,13015,113024,864337,,357569,-89435,3113,,1135584,,,26815,1162399,,0,0,13.14
3085,新零售,2023Q1,tpex,119877,124865,244742,75796,7328,83124,290193,,21605,-150104,0,,161694,,,-76,161618,,0,0,5.57
3086,華義*,2023Q1,tpex,242394,102308,344702,43622,2346,45968,222748,,29199,46787,,,298734,,,,298734,,0,0,13.41
3088,艾訊,2023Q1,tpex,3944101,2334048,6278149,2376214,425584,2801798,919605,,667738,1895849,-6841,,3476351,,,,3476351,,0,0,37.80
3093,港建*,2023Q1,tpex,1657603,351960,2009563,1060747,25126,1085873,362888,,44670,563067,-46935,,923690,,,0,923690,,0,0,6.36
3095,及成,2023Q1,tpex,243195,590981,834176,170929,641887,812816,103600,,7200,-79113,-10327,,21360,,,,21360,,0,0,2.06
3105,穩懋,2023Q1,tpex,17019421,52095213,69114634,17737630,17288374,35026004,4239404,,9965055,16889749,1194221,,32288429,,,1800201,34088630,,0,0,76.16
3114,好德,2023Q1,tpex,2370075,601157,2971232,1324680,20272,1344952,626248,,52062,648575,299395,,1626280,,,,1626280,,0,0,25.97
3115,富榮綱,2023Q1,tpex,341457,6227,347684,121728,0,121728,436976,,,-209698,-1322,,225956,,,,225956,,0,0,5.17
