stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
3081,聯亞,2019Q1,tpex,2758559,2135426,4893985,450869,321537,772406,909682,1743389,1522978,-54470,,,,,,4121579,,0,0,45.31
3083,網龍,2019Q1,tpex,1033286,311076,1344362,195823,8022,203845,857044,334567,-65938,-27430,0,1098243,,,42274,1140517,0,0,0,12.81
3085,新零售,2019Q1,tpex,231318,524634,755952,445117,56049,501166,1180817,253672,-1188052,245,,246682,,,8104,254786,,0,0,2.09
3086,華義*,2019Q1,tpex,222824,141725,364549,155857,78289,234146,611661,10575,-491833,0,,130403,,,0,130403,,0,0,2.13
3088,艾訊,2019Q1,tpex,2623377,1633725,4257102,1514274,261069,1775343,796836,218707,1471519,-5303,,2481759,,,0,2481759,0,0,0,31.15
3093,港建*,2019Q1,tpex,846472,327611,1174083,300148,34998,335146,362888,46759,445605,-16715,,838537,,,400,838937,,0,0,23.11
3095,及成,2019Q1,tpex,482054,571229,1053283,296742,553958,850700,1092763,0,-927888,3154,,168029,,,34554,202583,,0,0,1.54
3105,穩懋,2019Q1,tpex,10383092,25754229,36137321,3801290,5560959,9362249,4237944,9200258,11342555,1834971,0,26615728,,,159344,26775072,,0,0,62.80
3114,好德,2019Q1,tpex,2282579,322504,2605083,1523288,5938,1529226,520142,52062,444708,58945,,1075857,,,,1075857,,0,0,20.68
3115,富榮綱,2019Q1,tpex,409026,76999,486025,128058,13860,141918,436976,0,-94280,1411,0,344107,,,0,344107,,0,0,7.87
3118,進階,2019Q1,tpex,498469,194311,692780,164151,22084,186235,324529,55945,126071,0,,,,,,506545,0,0,0,15.61
3122,笙泉,2019Q1,tpex,330937,194119,525056,84140,8587,92727,392999,46702,8880,-470,-15782,432329,,,,432329,,0,1000000,11.29
