r,w,cagr,mdd,calmar,peak,trough
47,1.0,0.2859442468818769,-0.4741841919498212,0.6030235755141663,2024-07-17,2025-04-09
48,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
48,0.25,0.25578724147232146,-0.32772015479465505,0.7805050672961943,2022-01-17,2022-10-25
48,0.5,0.269893024011745,-0.3439968411709273,0.7845799487374909,2024-07-11,2025-04-09
48,0.75,0.28278860435139275,-0.38561779468014995,0.7333390944418198,2024-07-17,2025-04-09
48,1.0,0.29467482397386324,-0.43310032960813855,0.6803846680063249,2024-07-17,2025-04-09
49,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
49,0.25,0.23596913448177115,-0.3299902592464972,0.7150790905785681,2022-01-04,2022-10-25
49,0.5,0.23161014700206706,-0.34227768837097694,0.6766732243179021,2021-04-29,2022-10-25
49,0.75,0.2271169133600035,-0.363444228687674,0.6249016917398255,2021-04-29,2022-10-25
49,1.0,0.22248036129927917,-0.38420873198309113,0.5790611789350755,2020-01-02,2020-03-19
50,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
50,0.25,0.2588771979471607,-0.3478637278462192,0.7441914095211531,2022-01-05,2022-10-25
50,0.5,0.27547111120840184,-0.3682498529313697,0.7480549116736269,2021-07-26,2022-10-26
50,0.75,0.2904212161791053,-0.39473936901988016,0.7357290378717682,2021-07-26,2022-10-26
50,1.0,0.3040383542924314,-0.4285348539133737,0.7094833746099246,2018-06-12,2018-10-26
51,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
51,0.25,0.24234813322651627,-0.3195013071408665,0.7585200054272899,2022-01-04,2022-10-25
51,0.5,0.24446332589459296,-0.31591356209843213,0.7738297915124747,2020-01-14,2020-03-19
51,0.75,0.24654860102790166,-0.33361809974241485,0.7390144635985302,2020-01-02,2020-03-19
51,1.0,0.24860484113195813,-0.36475972653801614,0.681557812019162,2024-04-18,2025-04-09
52,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
52,0.25,0.2245232384825493,-0.3105841052189684,0.7229064034820959,2024-07-11,2025-04-09
52,0.5,0.20694130833271562,-0.3567414371855684,0.5800876678788219,2024-07-11,2025-04-09
52,0.75,0.1868888060647662,-0.40370557495807047,0.46293342885883304,2024-07-11,2025-04-09
52,1.0,0.16349035189701722,-0.45583104352072307,0.3586643652750355,2024-07-17,2025-04-09
53,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
53,0.25,0.22400517931099095,-0.30319266090446784,0.7388212453518859,2022-01-04,2022-10-25
53,0.5,0.20576794894800932,-0.29616538588201674,0.6947737944973117,2020-01-02,2020-03-19
53,0.75,0.1848550628569321,-0.3131422059473184,0.5903230524218485,2024-07-09,2025-04-09
53,1.0,0.16026811922312612,-0.37033294570247743,0.43276765160365793,2024-04-18,2025-04-09
54,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
54,0.25,0.24939281391758716,-0.3357517571185134,0.7427893037937451,2024-07-11,2025-04-09
54,0.5,0.25804601084135026,-0.3796129642799333,0.679760796185724,2024-07-11,2025-04-09
54,0.75,0.2662242201678129,-0.41247994291491796,0.6454234314678589,2024-07-10,2025-04-09
54,1.0,0.27397949751315553,-0.43887196855245325,0.6242811506436187,2024-07-05,2025-04-09
55,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
55,0.25,0.33743488814433853,-0.30239763240138173,1.1158648480965974,2020-01-14,2020-03-19
55,0.5,0.39707270079313006,-0.31854055381184554,1.2465373593456852,2020-01-14,2020-03-19
55,0.75,0.44078544722002233,-0.37669964355694147,1.1701244074933501,2018-07-12,2018-10-29
55,1.0,0.475543247008559,-0.4285570296773673,1.1096381906663964,2018-07-12,2018-10-29
56,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
56,0.25,0.24926797048780092,-0.29670212947449986,0.8401286870751101,2024-07-11,2025-04-09
56,0.5,0.2578103679666426,-0.32023329489126834,0.8050704660618729,2024-07-11,2025-04-09
56,0.75,0.26588946015437176,-0.3603358587905104,0.7378934226719656,2018-07-13,2018-10-30
56,1.0,0.27355545026542893,-0.42114923828778367,0.6495451621320527,2018-07-13,2018-10-30
57,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
57,0.25,0.26596411500291195,-0.3345501824839308,0.7949901955760756,2024-07-11,2025-04-09
57,0.5,0.28794033210594705,-0.3808796010239425,0.7559878012155521,2024-07-11,2025-04-09
57,0.75,0.3071448088316364,-0.41606221011459815,0.7382184715767336,2024-07-08,2025-04-09
57,1.0,0.3242274851070659,-0.44342713588974847,0.7311854842994548,2024-07-08,2025-04-09
