stock_id,name,market,kind,first_seen,last_seen
00980B,台新特選IG債10+,tpex,etf,2026-09-02,2026-09-02
00980D,主動聯博投等入息,tpex,etf,2026-09-02,2026-09-02
00980T,平衡凱基美國TOP,tpex,etf,2026-09-02,2026-09-02
009810,玉山全球藍籌100,twse,etf,2026-09-02,2026-09-02
009811,統一美國50,twse,etf,2026-09-02,2026-09-02
009812,野村日本東證,twse,etf,2026-09-02,2026-09-02
009813,貝萊德標普卓越50,twse,etf,2026-09-02,2026-09-02
009814,富邦標普500,tpex,etf,2026-09-02,2026-09-02
009815,大華美國MAG7+,tpex,etf,2026-09-02,2026-09-02
009816,凱基台灣TOP50,twse,etf,2026-09-02,2026-09-02
009817,國泰日本不動產,twse,etf,2026-09-02,2026-09-02
009818,華南永昌NASDAQxT,twse,etf,2026-09-02,2026-09-02
009819,中信數據及電力,twse,etf,2026-09-02,2026-09-02
00981A,主動統一台股增長,twse,etf,2026-09-02,2026-09-02
00981B,第一金優選非投債,tpex,etf,2026-09-02,2026-09-02
00981D,主動中信非投等債,tpex,etf,2026-09-02,2026-09-02
00981T,平衡凱基雙核收息,twse,etf,2026-09-02,2026-09-02
009820,元大納斯達克精選,twse,etf,2026-09-02,2026-09-02
009821,野村稀土關鍵資源,twse,etf,2026-09-02,2026-09-02
009822,華南永昌未來金融,tpex,etf,2026-09-02,2026-09-02
009823,群益S&P500,tpex,etf,2026-09-02,2026-09-02
009824,群益美國科技巨頭,twse,etf,2026-09-02,2026-09-02
009825,聯邦美國金融創新,tpex,etf,2026-09-02,2026-09-02
009826,貝萊德世界股票,twse,etf,2026-09-02,2026-09-02
009827,玉山未來全球算力,twse,etf,2026-09-02,2026-09-02
009828,中信台日韓PCB,twse,etf,2026-09-02,2026-09-02
009829,大華韓國KOSPI50,twse,etf,2026-09-02,2026-09-02
00982A,主動群益台灣強棒,twse,etf,2026-09-02,2026-09-02
00982B,FT投資級債20+,tpex,etf,2026-09-02,2026-09-02
00982D,主動富邦動態入息,twse,etf,2026-09-02,2026-09-02
00982T,平衡兆豐台美動能,twse,etf,2026-09-02,2026-09-02
00983A,主動中信ARK創新,twse,etf,2026-09-02,2026-09-02
00983B,大華優利美公債20,tpex,etf,2026-09-02,2026-09-02
00983D,主動富邦複合收益,twse,etf,2026-09-02,2026-09-02
00984A,主動安聯台灣高息,twse,etf,2026-09-02,2026-09-02
00984B,大華優利美A債15,tpex,etf,2026-09-02,2026-09-02
00984D,主動聯博全球非投,twse,etf,2026-09-02,2026-09-02
00985A,主動野村台灣50,twse,etf,2026-09-02,2026-09-02
00985B,群益ESG投等債0-5,twse,etf,2026-09-02,2026-09-02
00985D,主動貝萊德優投等,tpex,etf,2026-09-02,2026-09-02
00986A,主動台新龍頭成長,twse,etf,2026-09-02,2026-09-02
00986B,FT金融債10+,tpex,etf,2026-09-02,2026-09-02
00986D,主動復華金融債息,tpex,etf,2026-09-02,2026-09-02
