stock_id,market,n_notrade_days,first,last
8093,tpex,9,2015-06-15,2026-09-10
9188,twse,9,2015-10-05,2016-12-22
01003T,twse,8,2015-08-06,2016-08-26
1583,twse,8,2016-05-05,2016-11-14
1713,twse,8,2016-01-13,2016-07-13
2539,twse,8,2015-06-01,2016-10-06
3339,tpex,8,2016-02-02,2016-12-22
3489,tpex,8,2016-03-31,2016-09-20
3652,tpex,8,2015-09-07,2016-10-12
6426,tpex,8,2016-05-16,2016-11-16
910801,twse,8,2015-04-27,2016-01-13
00643K,twse,7,2016-10-03,2026-09-10
1259,tpex,7,2015-04-01,2016-11-01
2033,twse,7,2015-10-01,2016-10-06
2719,tpex,7,2016-05-05,2016-11-04
2928,tpex,7,2016-10-13,2016-12-08
3066,tpex,7,2015-01-22,2016-11-14
3130,twse,7,2015-09-15,2016-11-24
4513,tpex,7,2016-01-26,2016-12-27
5201,tpex,7,2015-08-14,2016-07-29
6111,tpex,7,2015-04-07,2015-08-10
6114,tpex,7,2015-01-29,2016-07-11
6133,twse,7,2016-02-23,2016-11-04
8034,tpex,7,2016-03-25,2016-12-26
00625K,twse,6,2016-10-05,2026-09-10
3287,tpex,6,2016-08-04,2016-12-07
3354,tpex,6,2015-05-08,2016-12-29
3581,tpex,6,2015-12-29,2016-11-14
4995,tpex,6,2016-01-21,2016-08-29
5202,tpex,6,2015-10-14,2016-11-29
6101,tpex,6,2015-06-25,2016-06-01
6464,twse,6,2016-06-14,2016-12-29
1530,twse,5,2016-05-05,2016-12-26
2235,tpex,5,2016-10-17,2026-09-10
2901,twse,5,2015-05-14,2016-10-18
2924,tpex,5,2015-10-20,2016-11-30
3207,tpex,5,2016-04-12,2016-12-29
3276,tpex,5,2015-11-24,2016-01-30
3684,tpex,5,2016-06-04,2016-11-18
5287,tpex,5,2016-04-15,2016-07-04
5903,tpex,5,2016-04-27,2016-12-27
6026,tpex,5,2016-06-04,2016-12-29
6130,tpex,5,2015-06-08,2016-09-01
6165,twse,5,2015-11-09,2016-07-04
6221,tpex,5,2015-06-18,2016-12-19
6247,tpex,5,2016-08-01,2016-12-12
6250,tpex,5,2015-01-21,2015-09-30
