stock_id,asof
6703,20260916
6708,20260916
6712,20260916
6716,20260916
6720,20260916
6721,20260916
6725,20260916
6727,20260916
6728,20260916
6730,20260916
6732,20260916
6733,20260916
6735,20260916
6739,20260916
6741,20260916
6747,20260916
6751,20260916
6752,20260916
6761,20260916
6762,20260916
6763,20260916
6767,20260916
6785,20260916
6788,20260916
6791,20260916
6803,20260916
6804,20260916
6811,20260916
6821,20260916
6823,20260916
6829,20260916
6840,20260916
6841,20260916
6843,20260916
6844,20260916
6846,20260916
6855,20260916
6856,20260916
6859,20260916
6865,20260916
6870,20260916
6872,20260916
6874,20260916
6875,20260916
6877,20260916
6881,20260916
6884,20260916
6894,20260916
6895,20260916
6899,20260916
6903,20260916
6904,20260916
6907,20260916
6910,20260916
6913,20260916
6922,20260916
6925,20260916
6929,20260916
6945,20260916
6953,20260916
6961,20260916
6967,20260916
6968,20260916
6971,20260916
6982,20260916
6983,20260916
6986,20260916
6996,20260916
6997,20260916
7402,20260916
7547,20260916
7556,20260916
7584,20260916
7642,20260916
7703,20260916
7704,20260916
7708,20260916
7709,20260916
7712,20260916
7713,20260916
7714,20260916
7715,20260916
7716,20260916
7717,20260916
7718,20260916
7723,20260916
7728,20260916
7734,20260916
7738,20260916
7743,20260916
7744,20260916
7747,20260916
7751,20260916
7753,20260916
7757,20260916
7767,20260916
7770,20260916
7772,20260916
7777,20260916
7782,20260916
7792,20260916
7794,20260916
7805,20260916
7810,20260916
7811,20260916
7814,20260916
7819,20260916
7820,20260916
7825,20260916
7828,20260916
7839,20260916
7842,20260916
8024,20260916
8027,20260916
8032,20260916
8034,20260916
8038,20260916
8040,20260916
8042,20260916
8043,20260916
8044,20260916
8047,20260916
8048,20260916
8049,20260916
8050,20260916
8053,20260916
8054,20260916
8059,20260916
8064,20260916
8066,20260916
8067,20260916
8068,20260916
8069,20260916
8071,20260916
8074,20260916
8076,20260916
8077,20260916
8079,20260916
8080,20260916
8082,20260916
8083,20260916
8084,20260916
8085,20260916
8086,20260916
8087,20260916
8088,20260916
8089,20260916
8091,20260916
8092,20260916
8093,20260916
8096,20260916
8097,20260916
8099,20260916
8102,20260916
8107,20260916
8109,20260916
8111,20260916
8121,20260916
8147,20260916
8155,20260916
8171,20260916
8176,20260916
8182,20260916
8183,20260916
8227,20260916
8234,20260916
8240,20260916
8255,20260916
8266,20260916
8272,20260916
8277,20260916
8279,20260916
8284,20260916
8287,20260916
8289,20260916
8291,20260916
8299,20260916
8342,20260916
8349,20260916
8354,20260916
8358,20260916
8383,20260916
8390,20260916
8401,20260916
8403,20260916
8406,20260916
8409,20260916
8410,20260916
8415,20260916
8416,20260916
8418,20260916
8420,20260916
8421,20260916
8423,20260916
8424,20260916
8426,20260916
8431,20260916
8432,20260916
8433,20260916
8435,20260916
8436,20260916
8437,20260916
8440,20260916
8444,20260916
8446,20260916
8450,20260916
8455,20260916
8472,20260916
8477,20260916
8489,20260916
8905,20260916
8906,20260916
8908,20260916
8913,20260916
8916,20260916
8917,20260916
8921,20260916
8923,20260916
8924,20260916
8925,20260916
8927,20260916
8928,20260916
8929,20260916
8930,20260916
8931,20260916
8932,20260916
8933,20260916
8934,20260916
8935,20260916
8936,20260916
8937,20260916
8938,20260916
8941,20260916
8942,20260916
9949,20260916
9950,20260916
9951,20260916
9960,20260916
9962,20260916
