stock_id,name,market,industry_code,industry_name,source,asof
7898,乾瞻,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
7899,景美,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
7901,大大寬頻,esb,27,通信網路業,tpex-mopsfin-R:1150908,1150908
7902,宇越生醫*,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7904,任開數位,esb,36,數位雲端,tpex-mopsfin-R:1150908,1150908
7907,錸恩帕斯,esb,31,其他電子業,tpex-mopsfin-R:1150908,1150908
7909,鈺祥,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
7911,阿波羅電力,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
7912,新聿科,esb,28,電子零組件業,tpex-mopsfin-R:1150908,1150908
7913,通寶半導體,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
7914,碩明綠能,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
7915,廌家,esb,27,通信網路業,tpex-mopsfin-R:1150908,1150908
7917,源傑科技,esb,27,通信網路業,tpex-mopsfin-R:1150908,1150908
7918,創鉅材料,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
7919,禾蒼,esb,26,光電業,tpex-mopsfin-R:1150908,1150908
7920,瀚陽*,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7921,台普威,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
7922,源點*,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
7924,TLC-KY,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7925,健生,esb,05,電機機械,tpex-mopsfin-R:1150908,1150908
7926,中華立鼎,esb,26,光電業,tpex-mopsfin-R:1150908,1150908
7927,連距電機,esb,05,電機機械,tpex-mopsfin-R:1150908,1150908
7928,合聖科技*,esb,27,通信網路業,tpex-mopsfin-R:1150908,1150908
7929,碩通,esb,25,電腦及週邊設備業,tpex-mopsfin-R:1150908,1150908
7930,威世波,esb,27,通信網路業,tpex-mopsfin-R:1150908,1150908
7931,續升綠能,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
7932,昱鐳應材,esb,28,電子零組件業,tpex-mopsfin-R:1150908,1150908
7933,威旭,esb,20,其他,tpex-mopsfin-R:1150908,1150908
