stock_id,name,susp_date,susp_time,resume_date,resume_time,days
044714,群益8C,2016-03-30,8:00,2016-03-31,8:00,1
044715,群益8D,2016-03-30,8:00,2016-03-31,8:00,1
044716,群益8E,2016-03-30,8:00,2016-03-31,8:00,1
044732,日盛M8,2016-03-30,8:00,2016-03-31,8:00,1
044737,凱基CF,2016-03-30,8:00,2016-03-31,8:00,1
044788,元大9I,2016-03-30,8:00,2016-03-31,8:00,1
044789,元大9J,2016-03-30,8:00,2016-03-31,8:00,1
044859,AM元大,2016-03-30,8:00,2016-03-31,8:00,1
044891,FS元富,2016-03-30,8:00,2016-03-31,8:00,1
044999,玉山N2,2016-03-30,8:00,2016-03-31,8:00,1
045024,CV元大,2016-03-30,8:00,2016-03-31,8:00,1
045085,統一HK,2016-03-30,8:00,2016-03-31,8:00,1
045193,FD元大,2016-03-30,8:00,2016-03-31,8:00,1
045205,兆豐7Q,2016-03-30,8:00,2016-03-31,8:00,1
045208,兆豐7T,2016-03-30,8:00,2016-03-31,8:00,1
045218,大展N2,2016-03-30,8:00,2016-03-31,8:00,1
045219,大展N3,2016-03-30,8:00,2016-03-31,8:00,1
045232,HH元富,2016-03-30,8:00,2016-03-31,8:00,1
06754P,14凱基,2016-03-30,8:00,2016-03-31,8:00,1
07198P,ZJ元大,2016-03-30,8:00,2016-03-31,8:00,1
07245P,AH中信,2016-03-30,8:00,2016-03-31,8:00,1
07254P,8T富邦,2016-03-30,8:00,2016-03-31,8:00,1
07277P,兆豐NE,2016-03-30,8:00,2016-03-31,8:00,1
07554P,KK統一,2016-03-30,8:00,,,
07651P,兆豐K7,2016-03-30,8:00,2016-03-31,8:00,1
07655P,兆豐L2,2016-03-30,8:00,2016-03-31,8:00,1
07690P,富邦BE,2016-03-30,8:00,2016-03-31,8:00,1
07774P,元大IE,2016-03-30,8:00,2016-03-31,8:00,1
07890P,BZ凱基,2016-03-30,8:00,2016-03-31,8:00,1
07904P,玉山NV,2016-03-30,8:00,2016-03-31,8:00,1
07924P,元大LJ,2016-03-30,8:00,2016-03-31,8:00,1
07947P,DL凱基,2016-03-30,8:00,2016-03-31,8:00,1
07972P,MC群益,2016-03-30,8:00,2016-03-31,8:00,1
