cell,kind,version,r,seed,param,cagr,mdd,vol,expo,x_mult_short,n_rebal,ctrl_cost_total
Ba,mbar,median,43,99043,1.0583941605839415,0.2922482900736849,-0.4114158735209302,0.2831735716070524,0.8804991115127888,27.0,,
Ba,mbar,pooled,43,99043,1.058940349087199,0.29232018065376075,-0.41153871634393563,0.28319492877659785,0.8805563268550897,27.0,,
Ba,mbar,paired,44,99044,1.0543478260869565,0.24638648536014895,-0.43743708828105193,0.2685020663718065,0.8848986837066107,26.0,,
Ba,mbar,median,44,99044,1.0583941605839415,0.24712941702522828,-0.4371610826963749,0.26853897950971667,0.8851851038825519,26.0,,
Ba,mbar,pooled,44,99044,1.058940349087199,0.24722953409648563,-0.4371238049568854,0.26854446192507203,0.8852238052546136,26.0,,
Ba,mbar,paired,45,99045,1.0579710144927537,0.2210428007816323,-0.4107527336160624,0.27048852713258537,0.8757816279281818,22.0,,
Ba,mbar,median,45,99045,1.0583941605839415,0.221115357978245,-0.4107758978463967,0.27051777686258804,0.8758099180406879,22.0,,
Ba,mbar,pooled,45,99045,1.058940349087199,0.2212090059377887,-0.4108058224869002,0.2705556471569047,0.8758464380747684,22.0,,
Ba,mbar,paired,46,99046,1.0698529411764706,0.23049704970561335,-0.4707821777894855,0.2723810900435944,0.8784466275897708,26.0,,
Ba,mbar,median,46,99046,1.0583941605839415,0.23351072502668968,-0.4696931051395636,0.2724762482231819,0.8782538058672286,25.0,,
Ba,mbar,pooled,46,99046,1.058940349087199,0.23338271996235926,-0.4698417175324375,0.27248241503674275,0.8782612641700484,25.0,,
Ba,mbar,paired,47,99047,1.0698529411764706,0.182454439490511,-0.5366766003415053,0.27603275862484244,0.8897078539706401,27.0,,
Ba,mbar,median,47,99047,1.0583941605839415,0.18437323947878048,-0.5301668731714867,0.27534844598342156,0.8895056435250731,26.0,,
Ba,mbar,pooled,47,99047,1.058940349087199,0.18427486119072212,-0.530611048179917,0.2753975429588338,0.8895367295515527,26.0,,
Ba,mbar,paired,48,99048,1.0772058823529411,0.14740116151970084,-0.4973053826782057,0.26636236375776606,0.8763245821271584,25.0,,
Ba,mbar,median,48,99048,1.0583941605839415,0.1472858772236798,-0.4949152221710247,0.26533047298249857,0.876170837747742,23.0,,
Ba,mbar,pooled,48,99048,1.058940349087199,0.14728417243908876,-0.49498063775043155,0.26536297551716104,0.8761765086203465,23.0,,
Ba,mbar,paired,49,99049,1.0588235294117647,0.3180687716533812,-0.4259117233488724,0.27178289599423433,0.8764684705289763,26.0,,
Ba,mbar,median,49,99049,1.0583941605839415,0.3179982156069423,-0.42600018040174054,0.2717610805045462,0.8764445962306929,26.0,,
Ba,mbar,pooled,49,99049,1.058940349087199,0.3180879656192277,-0.42588763182086875,0.2717888446417884,0.8764749660803223,26.0,,
Ba,mbar,paired,50,99050,1.0507246376811594,0.3501383294297675,-0.4284346760177859,0.2825085848098298,0.876489085587596,24.0,,
Ba,mbar,median,50,99050,1.0583941605839415,0.35297298220679196,-0.42760102215984125,0.2831369755841961,0.8770822525705435,24.0,,
Ba,mbar,pooled,50,99050,1.058940349087199,0.3531792076615228,-0.42754175533916783,0.2831786845992967,0.8771234758134644,24.0,,
Ba,mbar,paired,51,99051,1.0588235294117647,0.2679358741237381,-0.4315601518227416,0.2694869608950333,0.8846268027792725,22.0,,
Ba,mbar,median,51,99051,1.0583941605839415,0.2678502108215246,-0.43162291282666426,0.26946330181204103,0.8845813563124264,22.0,,
Ba,mbar,pooled,51,99051,1.058940349087199,0.26795917763790356,-0.43154307336126735,0.2694934112261113,0.8846391680705313,22.0,,
Ba,mbar,paired,52,99052,1.0471014492753623,0.20941709190483282,-0.341424165845363,0.26241642725206493,0.8883510494171535,22.0,,
Ba,mbar,median,52,99052,1.0583941605839415,0.20724524935028943,-0.34177389790557,0.26243423256971704,0.8883238512559817,22.0,,
Ba,mbar,pooled,52,99052,1.058940349087199,0.20714017968405618,-0.34192398544913427,0.2624353572072104,0.888322715226605,22.0,,
Ba,mbar,paired,53,99053,1.068840579710145,0.3296703945057531,-0.45060547370482584,0.28856269179558275,0.8786674500342287,25.0,,
Ba,mbar,median,53,99053,1.0583941605839415,0.3314355932807789,-0.4521445011254129,0.28777412361392135,0.8784334490000781,24.0,,
Ba,mbar,pooled,53,99053,1.058940349087199,0.33134916969242645,-0.4523528088288296,0.2878265968572263,0.8784620918924503,24.0,,
Ba,mbar,paired,54,99054,1.0543478260869565,0.14405742596503956,-0.44798670889545783,0.2644050637185429,0.8795398882772332,25.0,,
Ba,mbar,median,54,99054,1.0583941605839415,0.14398172327176795,-0.4472420345734405,0.26460573699477324,0.8795505487655834,25.0,,
Ba,mbar,pooled,54,99054,1.058940349087199,0.143971291219684,-0.4471413471601093,0.2646335959112399,0.879551930543108,25.0,,
Ba,mbar,paired,55,99055,1.0693430656934306,0.306916683164836,-0.443373245422769,0.27310838837552104,0.877050203552141,26.0,,
Ba,mbar,median,55,99055,1.0583941605839415,0.3029920274797888,-0.4450136424928115,0.27232105094252523,0.876282123889453,26.0,,
Ba,mbar,pooled,55,99055,1.058940349087199,0.30318783125079074,-0.4449319830717956,0.2723596507747645,0.8763204042934621,26.0,,
Ba,mbar,paired,56,99056,1.062043795620438,0.2810053598501332,-0.40039597273742145,0.2753148742834939,0.8870232959553828,24.0,,
Ba,mbar,median,56,99056,1.0583941605839415,0.28113905046446885,-0.39961195491663903,0.2752589931848115,0.8871578375091576,23.0,,
Ba,mbar,pooled,56,99056,1.058940349087199,0.28089519112442063,-0.39972935729358927,0.2751545029576055,0.8868042771020577,24.0,,
Ba,mbar,paired,57,99057,1.0615942028985508,0.34071331152767614,-0.3926222475305792,0.2824673563817159,0.878793010361082,25.0,,
Ba,mbar,median,57,99057,1.0583941605839415,0.33984594547648594,-0.3922888473091088,0.2821940480305281,0.8786557485210327,24.0,,
Ba,mbar,pooled,57,99057,1.058940349087199,0.3399927035210688,-0.39234581028403415,0.2822624830616083,0.8786117824833596,25.0,,
