cell,j,r,seed,cagr,mdd,vol
Cc,1,26,99026,0.39415446979079216,-0.41500743144009244,0.26920143642949174
Cc,1,27,99027,0.3189584701171049,-0.42835106374590887,0.28508156321873857
Cc,1,28,99028,0.3920391753080492,-0.4186529817726604,0.2952763228080315
Cc,1,29,99029,0.1854757948484469,-0.4464032860839195,0.262274239510419
Cc,1,30,99030,0.21749682574584028,-0.4454841399226462,0.2616800699674763
Cc,1,31,99031,0.24223256925479686,-0.4924534837197913,0.26681532655145623
Cc,1,32,99032,0.22631126053562256,-0.44539119059783866,0.2709717875731991
Cc,1,33,99033,0.35270132296684675,-0.4615393290538999,0.28124247501964617
Cc,1,34,99034,0.2937034127994034,-0.4652530840118333,0.28222230665684916
Cc,1,35,99035,0.19099411531340538,-0.3963620036240836,0.27679691584367466
Cc,1,36,99036,0.23875843256599705,-0.439782468326385,0.2785214321067752
Cc,1,37,99037,0.19515822687711615,-0.5421378477180789,0.2629571078797631
Cc,1,38,99038,0.29340089082959797,-0.3992525424847945,0.28001295346109184
Cc,1,39,99039,0.23302489310244678,-0.5057954066166772,0.26495401900059057
Cc,1,40,99040,0.24138335287421642,-0.48765924121236875,0.2904468864812157
Cc,1,41,99041,0.3058000584332088,-0.488094344096457,0.2909055801835124
Cc,1,42,99042,0.2980806944893881,-0.4267904279174988,0.2742566105009977
Cc,1,43,99043,0.19798878191644986,-0.5441457345583938,0.25852519289915604
Cc,1,44,99044,0.18072077027247402,-0.44536506690493244,0.2650784508493363
Cc,1,45,99045,0.21150915300356443,-0.4434537640925759,0.2644476795921828
Cc,1,46,99046,0.25029803189146804,-0.41887391250107747,0.2752398431684418
Cc,1,47,99047,0.19502373511452942,-0.49660206593565653,0.27450801613604603
Cc,1,48,99048,0.2536023536259244,-0.36669362577393694,0.2728903273839648
Cc,1,49,99049,0.34656103111621883,-0.40935940491183326,0.28377530357551994
Cc,2,0,99000,0.39452381760375066,-0.37699622994878773,0.2688784250622401
Cc,2,1,99001,0.25770445109291673,-0.43764934122158405,0.2670068346126607
Cc,2,2,99002,0.2665040594283692,-0.35522379643543905,0.2680458399754349
Cc,2,3,99003,0.3493469546050423,-0.48758714995312785,0.3038356195434638
Cc,2,4,99004,0.22428110919839805,-0.4363719804719324,0.25110103264621975
Cc,2,5,99005,0.23753929293484433,-0.4578580064137967,0.2684575222762326
Cc,2,6,99006,0.2882181907028365,-0.44034440238256944,0.2579142920225254
Cc,2,7,99007,0.252748537670773,-0.4430889903265733,0.2667070486455414
Cc,2,8,99008,0.2997169749940569,-0.3994638186771903,0.26984246117240335
Cc,2,9,99009,0.256325895296458,-0.3998344203553444,0.28747757594138945
Cc,2,10,99010,0.23302246766478207,-0.4567129062307091,0.2557249524724363
Cc,2,11,99011,0.21892723036578943,-0.40876416235560276,0.2555234736754161
Cc,2,12,99012,0.3517246598903494,-0.47565104144515363,0.28533606288567004
Cc,2,13,99013,0.3480087491548338,-0.4473658117231803,0.2844655263271608
Cc,2,14,99014,0.30162202027931095,-0.43069411132290564,0.2701860388166613
Cc,2,15,99015,0.20604259876808495,-0.45549289231838236,0.2631251439769386
Cc,2,16,99016,0.2893930086958929,-0.4127351534386244,0.26900745808531346
Cc,2,17,99017,0.1569050823926117,-0.4599131350156554,0.2570088787659209
Cc,2,18,99018,0.26958544521814365,-0.440475474364045,0.28128161185993117
Cc,2,19,99019,0.387693588171947,-0.500662113444305,0.3003597268907421
Cc,2,20,99020,0.2585989118674443,-0.4134374377229238,0.29536544365302697
Cc,2,21,99021,0.4627574959657965,-0.3759672504444215,0.27985418278382684
Cc,2,22,99022,0.26221163676557513,-0.44136658896461667,0.2712086418083546
Cc,2,23,99023,0.3194675223524084,-0.3848897912745323,0.26685988968807717
Cc,2,24,99024,0.3140766145638274,-0.44098282867128663,0.2820941193940592
Cc,2,25,99025,0.24321613522488716,-0.4761667506602979,0.2582482604128969
Cc,2,26,99026,0.31444226096881867,-0.3760849387911294,0.2804961625659926
Cc,2,27,99027,0.2703894952487307,-0.4480640444110662,0.28881926804653096
Cc,2,28,99028,0.27065723890834326,-0.46349869925840675,0.277119480322533
Cc,2,29,99029,0.2432186228562787,-0.41388909078543584,0.2709783899993555
Cc,2,30,99030,0.3165807658899471,-0.41283540111863337,0.27068363149236163
Cc,2,31,99031,0.28854457435187464,-0.3461981281378249,0.2772326554774068
Cc,2,32,99032,0.24911796361216587,-0.41440814296386136,0.26982030281440766
Cc,2,33,99033,0.3354363200912045,-0.4932409717685156,0.2880341862700194
Cc,2,34,99034,0.12501805216856843,-0.41998947054746105,0.2582111636249583
Cc,2,35,99035,0.2379834527043656,-0.5322392485578217,0.2746282378733398
Cc,2,36,99036,0.2117275326860717,-0.437515891178934,0.26731175068836815
Cc,2,37,99037,0.19105188567639053,-0.4151112835111877,0.2676261165341884
Cc,2,38,99038,0.3000578724390881,-0.4353854642652912,0.2773932941736549
Cc,2,39,99039,0.27444514634936046,-0.3691697944852066,0.2567417702850633
Cc,2,40,99040,0.4096067690807794,-0.45222257130143506,0.30008882918919644
Cc,2,41,99041,0.3003654653237906,-0.5114579505404829,0.2952704305271236
Cc,2,42,99042,0.19937969493021113,-0.5052032839530245,0.2559469025002671
Cc,2,43,99043,0.1736289281642196,-0.4147569398275026,0.2699859160427103
Cc,2,44,99044,0.30396320588060766,-0.40246880637441385,0.27418294615109423
Cc,2,45,99045,0.2576568298646926,-0.4038888461446143,0.26870071239169935
Cc,2,46,99046,0.3172201359999218,-0.4227045088148178,0.2837332664513864
Cc,2,47,99047,0.2384685137481859,-0.5595076432346986,0.2668128595456597
Cc,2,48,99048,0.379777681221535,-0.42494849490010095,0.27546284090180756
Cc,2,49,99049,0.3327349033905478,-0.44064428228548874,0.2757931338265233
Cc,3,0,99000,0.23508747204047786,-0.44512588664159036,0.26937275051333825
Cc,3,1,99001,0.3099830078262644,-0.4095093484258261,0.26984540209654617
Cc,3,2,99002,0.3361583377519337,-0.45017693191216074,0.2861474101416193
Cc,3,3,99003,0.2765100375422993,-0.4227337223265596,0.2666186527533303
Cc,3,4,99004,0.3425580606655114,-0.40999713630013246,0.28126436880664285
Cc,3,5,99005,0.20644452777850097,-0.4293245008892961,0.26003268572801785
Cc,3,6,99006,0.22033731668298717,-0.4988606983630227,0.27636028073028707
Cc,3,7,99007,0.4086307196236112,-0.4336251678462655,0.30062130846570806
Cc,3,8,99008,0.38844024721812187,-0.45142524891888863,0.27726797911313183
Cc,3,9,99009,0.40898125960839904,-0.3820097917042217,0.30210608096731156
