seed,j,cagr,mdd
102010,7,0.018227916833682967,-0.5019717999007707
102010,8,0.08599239947699111,-0.5183033991198012
102010,9,0.16828477610696546,-0.35073737493585455
102010,10,0.1471372400898434,-0.3727457535179017
102010,11,0.10524807094993816,-0.36239044980075014
102010,12,0.11252431896803539,-0.43328696195457406
102010,13,-0.0035257861874684604,-0.49658987252003856
102010,14,0.18002547007958047,-0.31148171967559035
102010,15,0.15668925054176253,-0.3611254703171704
102010,16,0.11393750582283801,-0.37463494124825336
102010,17,0.18252851768965228,-0.32428446110549564
102010,18,0.11401050857977602,-0.3642147680484055
102010,19,0.09170008800288332,-0.501919250271812
102010,20,0.10139991249813107,-0.33401568677389387
102010,21,0.030851358548540153,-0.4464766238297486
102010,22,0.07715173087920735,-0.43656838633869344
102010,23,0.07199881495940952,-0.31152223092226766
102010,24,0.1004949270164972,-0.3120484649656322
102010,25,0.16517716020804585,-0.34173201402219905
102010,26,0.11338298348073272,-0.36470051824446403
102010,27,0.1326859299733414,-0.4243994938363764
102010,28,0.12037752223844489,-0.3222798082604233
102010,29,0.13809968051489774,-0.4075333928041942
102010,30,0.12451828210945926,-0.3569422918566561
102011,1,0.1282040898039949,-0.4194794953503526
102011,2,0.14850028077387067,-0.37163868186853444
102011,3,0.138808813318249,-0.4974559443394873
102011,4,0.21254061577029026,-0.3465839238785802
102011,5,0.27652377339308387,-0.3063316421365411
102011,6,0.1568323097356874,-0.4119645817218237
102011,7,0.1107845908096865,-0.46238528778238236
102011,8,0.1935394171911511,-0.32301852749127496
102011,9,0.19078709099545588,-0.4339363232855002
102011,10,0.18145339120149795,-0.39091364514509575
102011,11,0.220946426536913,-0.41022802529925684
102011,12,0.18771230372900805,-0.4182772081331939
102011,13,0.2203067213352743,-0.37933702098264865
102011,14,0.16326475122592154,-0.43724171738280265
102011,15,0.20778681567299473,-0.3338311389468614
102011,16,0.1759992135042483,-0.41827472895124584
102011,17,0.20499908164263148,-0.3151413146337676
102011,18,0.17112642029472136,-0.3670813157185981
102011,19,0.170708290733665,-0.384423059010034
102011,20,0.11258773321025184,-0.5181221787714009
102011,21,0.10169833304346465,-0.5027173475346106
102011,22,0.14428029585659696,-0.426077463197441
102011,23,0.17578573071144588,-0.3258954910731289
102011,24,0.16244426168382797,-0.40292098850232844
102011,25,0.12020159087884008,-0.41234425834444716
102011,26,0.131099002959,-0.40664090934222874
102011,27,0.15049118814244622,-0.3639310250032452
102011,28,0.12721077468216113,-0.508778694503767
102011,29,0.2295516088119296,-0.2772799974043724
102011,30,0.11322351697583732,-0.2719082594520129
102012,1,0.18431539846484202,-0.3768122830826847
102012,2,0.15220575004909498,-0.3565468743394816
