seed,arm,cagr,mdd
102113,碎形k1,0.05627838954897202,-0.505614539284171
102114,碎形k1,-0.04893278347675434,-0.6072166907570843
102115,碎形k1,0.022747597764600336,-0.4988746576381579
102116,碎形k1,-0.025061721362083733,-0.5675734858004193
102117,碎形k1,-0.019374482897307255,-0.5613021038529884
102118,碎形k1,-0.041472510618072556,-0.6248148291683828
102119,碎形k1,-0.05204716255775521,-0.6204051994522273
102120,碎形k1,0.007151217044726765,-0.555256158303679
102121,碎形k1,0.007173087819693391,-0.555939962114705
102122,碎形k1,0.05921384374432748,-0.590454643351327
102123,碎形k1,-0.029973082006737206,-0.5115721385019885
102124,碎形k1,0.05197454627434439,-0.5276885391643293
102125,碎形k1,0.04471916821067423,-0.4614319581548407
102126,碎形k1,0.008651080003921896,-0.5460577417513469
102127,碎形k1,0.032027081268794166,-0.41176197859187796
102128,碎形k1,-0.03860220977694562,-0.5836906211181853
102129,碎形k1,-0.02995633554302546,-0.6225051957258466
102130,碎形k1,0.00130236590421684,-0.6743688479894234
102131,碎形k1,-0.008055184048387565,-0.5743262456259598
102132,碎形k1,-0.034394248660882476,-0.6112477700937039
102133,碎形k1,-0.004579735292141507,-0.6293850645116216
102134,碎形k1,-0.007537076254868991,-0.4732864244344594
102135,碎形k1,-0.03237669629067741,-0.6360231076205756
102136,碎形k1,0.10856639624381548,-0.573445879084711
102137,碎形k1,-0.0001257349971346411,-0.5851440587860796
102138,碎形k1,-0.020278027372026886,-0.7290211660806141
102139,碎形k1,-0.01294296918391491,-0.5939206785928411
102140,碎形k1,0.035484552380837364,-0.5579355388843699
102141,碎形k1,0.010722130828527687,-0.379092979356361
102142,碎形k1,-0.008961422218525361,-0.6095402791836245
102143,碎形k1,0.012580807761934265,-0.6175178544403218
102144,碎形k1,-0.004172074647346258,-0.5168404393539543
102145,碎形k1,-0.030107757486380615,-0.5182280268131415
102146,碎形k1,-0.051415589837676356,-0.6008423192004352
102147,碎形k1,-0.0016125288236008561,-0.5701348484271985
102148,碎形k1,0.004148243852874156,-0.5769919523543964
102149,碎形k1,-0.043900106943922435,-0.5700023423478601
102150,碎形k1,0.011369346422058335,-0.5624499295354473
102151,碎形k1,-0.010244870725429012,-0.5735900654876309
102152,碎形k1,0.04758850799700154,-0.5398090909624119
102153,碎形k1,-0.04063934455742557,-0.5650320148905641
102154,碎形k1,-0.04178005069487167,-0.5956559358609071
102155,碎形k1,-0.029310059554012002,-0.584714318651227
102156,碎形k1,-0.0008868027474228102,-0.4925705709950149
102157,碎形k1,0.0018836849148502477,-0.590013209750435
102158,碎形k1,-0.01974115561153089,-0.6108597308613563
102159,碎形k1,0.03138258299511065,-0.453733215002409
102160,碎形k1,-0.0002717315041147472,-0.55099429252403
102161,碎形k1,-0.02205098132548977,-0.5722204062159512
102162,碎形k1,-0.047008411990379084,-0.707736160212464
102163,碎形k1,0.0009114395049076851,-0.6886433193099546
102164,碎形k1,-0.04517188478641132,-0.6155293725632434
102165,碎形k1,-0.0024843202506783513,-0.5738823285863094
102166,碎形k1,0.005584007517051237,-0.5504731091793144
102167,碎形k1,0.011066302793523164,-0.5327473395579257
102168,碎形k1,-0.037569848013749074,-0.6284130219082082
102169,碎形k1,-0.007656078675027933,-0.6263594349428937
102170,碎形k1,0.023435135153100584,-0.5518511863492122
102171,碎形k1,0.0015477638891010503,-0.4681580154783651
102172,碎形k1,0.06903055519371692,-0.39092772090894196
102173,碎形k1,-0.048662409535393136,-0.6537359072182383
102174,碎形k1,-0.020831988945182123,-0.5325434596535055
102175,碎形k1,-0.07666994800297278,-0.7001108842498751
102176,碎形k1,-0.03993641010170501,-0.6528194449096784
102177,碎形k1,0.026550548688921927,-0.5936518413694283
102178,碎形k1,0.030998960934610853,-0.5959067950688967
102179,碎形k1,0.005991787057858744,-0.5818709722105093
102180,碎形k1,-0.009576070682375093,-0.6308969093039767
102181,碎形k1,-0.012527775074985703,-0.5914789153482377
102182,碎形k1,0.034532177745197234,-0.6151126813281872
102183,碎形k1,0.021665409753695908,-0.5702611092698544
102184,碎形k1,0.0043392220093836364,-0.6189381942299965
