stock_id,rows,first,last
1464,2842,2015-01-05,2026-09-03
1465,2178,2015-01-05,2026-09-03
1466,2371,2015-01-05,2026-09-03
1467,2782,2015-01-05,2026-09-03
1468,1962,2015-01-05,2026-09-03
1469,194,2015-01-05,2018-07-10
1470,1469,2015-01-05,2026-09-02
1471,2446,2015-01-05,2026-09-03
1472,1960,2015-01-05,2026-09-03
1473,2802,2015-01-05,2026-09-03
1474,2674,2015-01-05,2026-09-03
1475,1808,2015-01-05,2026-09-03
1476,2844,2015-01-05,2026-09-03
1477,2844,2015-01-05,2026-09-03
1503,2793,2015-01-05,2026-09-03
1504,2842,2015-01-05,2026-09-03
1506,2649,2015-01-05,2026-09-03
1507,1771,2015-01-05,2022-04-13
1512,1331,2015-01-05,2026-09-03
1513,2841,2015-01-05,2026-09-03
1514,2812,2015-01-05,2026-09-03
1515,2833,2015-01-05,2026-09-03
1516,2052,2015-02-11,2026-09-03
1517,2694,2015-01-05,2026-09-03
1519,2832,2015-01-05,2026-09-03
1521,2708,2015-01-05,2026-09-03
1522,2842,2015-01-05,2026-09-03
1522A,274,2021-08-19,2026-08-21
1524,2732,2015-01-05,2026-09-03
1525,2757,2015-01-05,2026-09-03
1526,2622,2015-01-05,2026-09-03
1527,2835,2015-01-05,2026-09-03
1528,2717,2015-01-05,2026-09-03
1529,1756,2015-08-27,2026-09-03
1530,2353,2015-01-05,2026-09-03
1531,2752,2015-01-05,2026-09-03
1532,2842,2015-01-05,2026-09-03
1533,2788,2015-01-05,2026-09-03
1535,2574,2015-01-05,2026-09-03
1536,2844,2015-01-05,2026-09-03
1537,2843,2015-01-05,2026-09-03
1538,813,2015-01-05,2023-12-28
1539,2676,2015-01-05,2026-09-03
1540,2486,2015-01-05,2026-09-03
1541,2486,2015-01-05,2026-09-03
1558,2835,2015-01-05,2026-09-03
1560,2841,2015-01-05,2026-09-03
1568,2785,2015-01-05,2026-09-03
1582,2834,2015-01-05,2026-09-03
1583,2121,2015-01-05,2026-09-03
1587,1774,2018-04-16,2026-09-03
1589,2197,2015-01-05,2023-12-29
1590,2844,2015-01-05,2026-09-03
1592,1424,2015-01-05,2021-06-11
1597,1383,2020-12-23,2026-09-03
1598,2383,2016-09-20,2026-09-03
1603,2479,2015-01-05,2026-09-03
1604,2833,2015-01-05,2026-09-03
1605,2844,2015-01-05,2026-09-03
1608,2834,2015-01-05,2026-09-03
1609,2833,2015-01-05,2026-09-03
1611,2819,2015-01-05,2026-09-03
1612,2758,2015-01-05,2026-09-03
1613,370,2015-01-05,2017-03-28
1614,2616,2015-01-05,2026-09-03
1615,2319,2015-01-05,2026-09-03
1616,2402,2015-01-05,2026-09-03
1617,2268,2015-01-05,2026-09-03
1618,2684,2015-01-05,2026-09-03
1623,148,2026-01-22,2026-09-03
1626,2736,2015-01-05,2026-09-03
1701,2189,2015-01-05,2023-12-29
1702,2843,2015-01-05,2026-09-03
1704,997,2015-01-05,2019-01-23
1707,2844,2015-01-05,2026-09-03
1708,2836,2015-01-05,2026-09-03
1709,2819,2015-01-05,2026-09-03
1710,2844,2015-01-05,2026-09-03
1711,2841,2015-01-05,2026-09-03
1712,2839,2015-01-05,2026-09-03
1713,2188,2015-01-05,2026-09-03
1714,2841,2015-01-05,2026-09-03
1715,661,2015-01-05,2017-10-18
1717,2833,2015-01-05,2026-09-03
1718,2844,2015-01-05,2026-09-03
1720,2830,2015-01-05,2026-09-03
1721,2630,2015-01-05,2026-09-03
1722,2843,2015-01-05,2026-09-03
1723,2842,2015-01-05,2026-09-03
1724,953,2015-01-05,2021-10-25
1725,2135,2015-01-05,2026-09-03
1726,2686,2015-01-05,2026-09-03
1727,2290,2015-01-05,2026-09-03
1729,573,2015-01-05,2017-05-17
1730,2672,2015-01-05,2026-09-03
1731,2540,2015-01-05,2026-09-03
1732,2305,2015-01-05,2026-09-03
1733,2841,2015-01-05,2026-09-03
1734,2804,2015-01-05,2026-09-03
1735,1880,2015-01-05,2026-09-03
1736,2842,2015-01-05,2026-09-03
1737,2841,2015-01-05,2026-09-03
1752,1120,2022-01-19,2026-09-03
1760,2084,2018-01-23,2026-09-03
1762,2795,2015-01-05,2026-09-03
1773,2830,2015-01-05,2026-09-03
1776,1747,2016-05-09,2026-09-03
1783,2723,2015-01-05,2026-09-03
1786,2774,2015-01-05,2026-09-03
1789,2843,2015-01-05,2026-09-03
1795,1633,2019-12-16,2026-09-03
1802,2844,2015-01-05,2026-09-03
1805,2079,2015-01-05,2026-09-03
1806,2795,2015-01-05,2026-09-03
1808,2832,2015-01-05,2026-09-03
1809,2703,2015-01-05,2026-09-03
1810,2756,2015-01-05,2026-09-03
1817,2745,2015-01-05,2026-09-03
1902,1295,2015-01-05,2020-05-25
1903,2592,2015-01-05,2026-09-03
1904,2843,2015-01-05,2026-09-03
1905,2830,2015-01-05,2026-09-03
1906,2763,2015-01-05,2026-09-03
