r,格,n,D,lo,hi,判過
15,甲_flag_H60,828,0.0929951690821256,0.04246087197338727,0.14352946619086393,True
15,甲_flag_H120,828,0.0821256038647343,0.029483290297984147,0.13476791743148447,True
15,乙_box,150636,-0.01029531506792237,-0.011207539552463345,-0.009383090583381395,True
15,乙_cup,397,-0.00591297819962132,-0.015336299472476979,0.0035103430732343387,False
15,乙_w,18277,-0.014064532723131226,-0.01655057669773299,-0.011578488748529462,True
15,乙_hs,5022,-0.006837220456211309,-0.011818691318569049,-0.0018557495938535682,True
15,乙_flag,3603,-0.0043870127894970875,-0.011548055454562707,0.0027740298755685316,False
15,乙_trend,45169,-0.008430898617273398,-0.009813299808085851,-0.0070484974264609455,True
16,甲_box_H60,10238,0.04795858566126197,0.03938249521892417,0.05653467610359977,True
16,甲_box_H120,10238,0.03008400078140262,0.023763732275743667,0.03640426928706157,True
16,甲_cup_H60,127,0.015748031496062992,-0.08681102207361363,0.11830708506573961,False
16,甲_cup_H120,127,0.015748031496062992,-0.09103943347869276,0.12253549647081874,False
16,甲_w_H60,4251,0.09362502940484592,0.07445186185152863,0.1127981969581632,True
16,甲_w_H120,4251,0.06892495883321571,0.05145312030760084,0.08639679735883059,True
16,甲_hs_H60,2709,0.07567368032484312,0.05337842373923742,0.0979689369104488,True
16,甲_hs_H120,2709,0.06496862310815799,0.04384397875967555,0.08609326745664042,True
16,甲_flag_H60,828,0.07971014492753623,0.021287272484616863,0.13813301737045558,True
16,甲_flag_H120,828,0.07608695652173914,0.02337953234088186,0.1287943807025964,True
16,乙_box,150636,-0.010293220577012204,-0.011160639665683966,-0.009425801488340442,True
16,乙_cup,397,-0.006807199542960568,-0.017718967807931144,0.004104568722010008,False
16,乙_w,18277,-0.01324531570905186,-0.015856895961208824,-0.010633735456894895,True
16,乙_hs,5022,-0.009429338947771164,-0.014142407895319377,-0.004716270000222952,True
16,乙_flag,3603,-0.008270641724603263,-0.014534279556131631,-0.0020070038930748964,True
16,乙_trend,45169,-0.008428799144159099,-0.0098173473595256,-0.007040250928792597,True
17,甲_box_H60,10238,0.050595819495995314,0.04090844336270832,0.06028319562928231,True
17,甲_box_H120,10238,0.03438171517874585,0.025421833783150834,0.04334159657434087,True
17,甲_cup_H60,127,0.03937007874015748,-0.06203636154431061,0.14077651902462557,False
17,甲_cup_H120,127,-0.023622047244094488,-0.11819571801853909,0.07095162353035012,False
17,甲_w_H60,4251,0.08633262761703128,0.06620234568546415,0.10646290954859841,True
17,甲_w_H120,4251,0.0505763349800047,0.033195027763319604,0.0679576421966898,True
17,甲_hs_H60,2709,0.06939830195644149,0.04517224055650762,0.09362436335637536,True
17,甲_hs_H120,2709,0.05721668512366187,0.03484441437438437,0.07958895587293938,True
17,甲_flag_H60,828,0.10628019323671498,0.05714962576527698,0.15541076070815296,True
17,甲_flag_H120,828,0.1111111111111111,0.06284773686961109,0.15937448535261112,True
17,乙_box,150636,-0.009993815894879667,-0.010886098321357444,-0.009101533468401889,True
17,乙_cup,397,-0.012439669406326443,-0.02161636863583464,-0.003262970176818248,True
17,乙_w,18277,-0.012626801672080742,-0.015174663255305698,-0.010078940088855785,True
17,乙_hs,5022,-0.00947968591967827,-0.014119386110049925,-0.004839985729306614,True
17,乙_flag,3603,-0.0037980221501633465,-0.01050522551085148,0.0029091812105247867,False
17,乙_trend,45169,-0.008558627902481155,-0.009906166327014687,-0.007211089477947622,True
18,甲_box_H60,10238,0.037605000976753275,0.02959593335662148,0.04561406859688507,True
18,甲_box_H120,10238,0.027056065637819888,0.01958835008636676,0.03452378118927302,True
18,甲_cup_H60,127,0.03937007874015748,-0.04565971157190693,0.12439986905222189,False
18,甲_cup_H120,127,0.14173228346456693,0.04261093933245709,0.24085362759667678,True
