stock_id,name,period,market,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
3444,利機,2022Q2,tpex,590051,426323,,,163728,,,163728,89144,,74584,61867,136451,23674,112777,,,112777,5934,,118711,112777,,0,118711,,0,2.88
3455,由田,2022Q2,tpex,1209511,541431,,,668080,,,668080,428991,,239089,108870,347959,78594,269365,,,269365,2766,,272131,269365,,,272131,,,4.50
3465,進泰電子,2022Q2,tpex,921837,716985,,,204852,,,204852,111279,,93573,66070,159643,36871,122772,,,122772,30169,,152941,117117,0,5655,146120,0,6821,3.62
3466,德晉,2022Q2,tpex,268797,219795,,,49002,,,49002,114315,,-65313,24989,-40324,471,-40795,,,-40795,9862,,-30933,-40795,,,-30933,,,-0.67
3479,安勤,2022Q2,tpex,3521570,2674233,,,847337,0,0,847337,505272,0,342065,17812,359877,94970,264907,,,264907,64739,,329646,239290,,25617,292788,0,36858,3.39
3483,力致,2022Q2,tpex,3833422,3108638,,,724784,,,724784,539369,,185415,122105,307520,22476,285044,,,285044,50855,,335899,285044,,,335899,,,3.66
3484,崧騰,2022Q2,tpex,3292787,2618356,,,674431,,,674431,400560,,273871,-36268,237603,43514,194089,,,194089,121693,,315782,197280,,-3191,316152,,-370,2.83
3485,敘豐,2022Q2,tpex,307531,178047,,,129484,,,129484,43387,,86097,41136,127233,26136,101097,,,101097,949,,102046,101097,,,102046,,,3.24
3489,森寶,2022Q2,tpex,481815,461753,,,20062,,,20062,26643,,-6581,-457,-7038,534,-7572,,,-7572,,,-7572,-7572,,,-7572,,,-0.09
3490,單井,2022Q2,tpex,276719,166307,,,110412,,,110412,45365,,65047,3472,68519,12351,56168,,,56168,4840,,61008,56168,,,61008,,,0.99
3491,昇達科,2022Q2,tpex,918890,564478,,,354412,,,354412,227078,,127334,77851,205185,43130,162055,,,162055,-31946,,130109,135614,,26441,95592,,34517,2.18
3492,長盛,2022Q2,tpex,366138,285138,,,81000,0,0,81000,82712,0,-1712,26389,24677,1133,23544,,,23544,8968,,32512,23544,0,0,32512,0,0,0.66
3498,陽程,2022Q2,tpex,453401,293446,,,159955,,,159955,302534,,-142579,41060,-101519,-20175,-81344,,,-81344,-19318,,-100662,-80973,,-371,-100280,,-382,-1.32
3499,環天科,2022Q2,tpex,174930,128408,,,46522,,,46522,72820,,-26298,32766,6468,1581,4887,,,4887,8337,,13224,4887,0,0,13224,,0,0.09
