stock_id,name,period,market,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
6189,豐藝,2015Q3,twse,13012879,11794033,1218846,,,1218846,696266,,522580,24418,546998,85659,461339,,,461339,4367,,465706,446158,,15181,449579,,16127,2.49
6191,精成科,2015Q3,twse,16958372,15586966,1371406,,,1371406,1573277,,-201871,144447,-57424,66959,-124383,,,-124383,409555,,285172,-129784,,5401,278687,,6485,-0.24
6192,巨路,2015Q3,twse,3768083,2744144,1023939,,,1023939,579395,,444544,13117,457661,111155,346506,,,346506,57743,,404249,346506,,,404249,,,2.92
6196,帆宣,2015Q3,twse,13057726,11678157,1379569,,,1379569,1047997,,331572,41632,373204,83766,289438,,,289438,1828,,291266,291317,,-1879,293219,,-1953,1.76
6197,佳必琪,2015Q3,twse,4013752,3264551,749201,,,749201,576782,,172419,103710,276129,43238,232891,,,232891,8474,,241365,232891,,0,241365,,0,1.36
6201,亞弘電,2015Q3,twse,2420948,1920148,500800,,,500800,344198,,156602,61342,217944,44319,173625,,,173625,11567,,185192,173625,,,185192,,,1.95
6202,盛群,2015Q3,twse,2928263,1486412,1441851,8534,,1433317,804409,,628908,88728,717636,106707,610929,,,610929,13316,,624245,600176,,10753,613492,,10753,2.65
6205,詮欣,2015Q3,twse,1666099,1244268,421831,,,421831,296204,,125627,94072,219699,44304,175395,,,175395,-10456,,164939,185654,,-10259,175102,,-10163,2.58
6206,飛捷,2015Q3,twse,3844644,2531502,1313142,,,1313142,485243,,827899,58597,886496,121052,765444,,,765444,8639,,774083,743629,,21815,752247,,21836,5.15
6209,今國光,2015Q3,twse,3129004,2893267,235737,,,235737,312437,,-76700,-2496,-79196,6759,-85955,,,-85955,37835,,-48120,-63052,,-22903,-23634,,-24486,-0.39
