stock_id,name,period,market,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
5410,國眾,2015Q4,tpex,2425563,1919331,506232,0,0,506232,392433,0,113799,33694,147493,19232,128261,,,128261,-6565,,121696,123444,,4817,116879,,4817,1.39
5425,台半,2015Q4,tpex,7744860,5066135,2678725,,,2678725,1230082,,1448643,76482,1525125,394604,1130521,,,1130521,-46784,,1083737,766004,,364517,722917,,360820,3.31
5426,振發,2015Q4,tpex,1614762,1298621,316141,,,316141,186400,,129741,-14501,115240,35886,79354,,,79354,-23814,,55540,108891,,-29537,85077,,-29537,0.76
5432,新門,2015Q4,tpex,123949,85776,38173,,,38173,21606,,16567,6834,23401,1524,21877,,,21877,-70,,21807,,,,,,,1.06
5438,東友,2015Q4,tpex,2527063,1902993,624070,,,624070,500456,,123614,86368,209982,28156,181826,,,181826,-141299,,40527,181826,,0,35107,,5420,1.62
5439,高技,2015Q4,tpex,1847376,1549162,298214,,,298214,145303,,152911,2985,155896,29649,126247,,,126247,-8113,,118134,,,,,,,1.62
5443,均豪,2015Q4,tpex,3647013,2715425,931588,,,931588,636890,,294698,10708,305406,69519,235887,,,235887,-35345,,200542,199911,,35976,167699,,32843,1.20
5450,南良,2015Q4,tpex,762587,599184,163403,,,163403,216620,,-53217,23179,-30038,13205,-43243,0,,-43243,-2446,,-45689,-43243,,0,-45689,,0,-0.86
5452,佶優,2015Q4,tpex,5673972,5198078,475894,0,0,475894,414687,,61207,-17559,43648,20925,22723,,,22723,-70920,,-48197,22223,,500,-32085,,-16112,0.15
5455,昇益,2015Q4,tpex,25061,27859,-2798,,,-2798,45009,,-47807,-26560,-74367,24500,-98867,,,-98867,,,-98867,,,,,,,-2.99
5457,宣德,2015Q4,tpex,2318483,1919914,398569,,,398569,275869,,122700,86392,209092,-12325,221417,,,221417,-17866,,203551,221417,,,203551,,,1.32
5460,同協,2015Q4,tpex,946781,696651,250130,,,250130,159460,-617,90053,7677,97730,23074,74656,,,74656,-5561,,69095,74656,,0,69095,,0,1.04
5464,霖宏,2015Q4,tpex,1341639,1238162,103477,,,103477,90266,,13211,135353,148564,23334,125230,,,125230,-3163,,122067,125230,,,122067,,,1.76
5465,富驊,2015Q4,tpex,2456265,2095282,360983,,,360983,347560,,13423,55057,68480,21490,46990,,,46990,-1695,,45295,42274,,4716,40573,,4722,0.29
5468,凱鈺,2015Q4,tpex,421291,319873,101418,,,101418,108760,,-7342,-6326,-13668,0,-13668,,,-13668,-2569,,-16237,-13668,,,-16237,,,-0.26
5474,聰泰,2015Q4,tpex,1026279,606273,420006,,,420006,173647,194,246553,8665,255218,41382,213836,,,213836,-1410,,212426,,,,,,,6.34
5475,德宏,2015Q4,tpex,2397469,2523028,-125559,,,-125559,312395,,-437954,-197924,-635878,15486,-651364,,,-651364,-27758,,-679122,-559511,,-91853,-587269,,-91853,-2.54
5478,智冠,2015Q4,tpex,14790974,11766200,3024774,,,3024774,2790184,,234590,67456,302046,148154,153892,,,153892,105637,,259529,308724,,-154832,414584,,-155055,2.42
