rank,idx,cell,n_cond,A,D,ratio,A_p10,A_p90,vol_med,expo_med,A_minus_0050,ratio_minus_0050,label,cand_order,luck_q,標記
59,112,F07+F15,2,0.10243583738227646,-0.4064204517743861,0.2520440025472465,0.029501076094021958,0.1963177932259746,0.2630958633346727,0.9180590525655964,-0.005454801444182422,-0.06568319192944555,F,,9.434182577183308e-20,探索，非結論
60,111,F07+F14,2,0.1114095315546499,-0.44297724994343834,0.25150170029922586,0.04439553385787738,0.18977845882311728,0.2813287015813527,0.9184668989547038,0.003518892728191017,-0.0662254941774662,R,36.0,6.061196411118096e-20,探索，非結論
61,149,F11+F18,2,0.07215612565604955,-0.2878589997671232,0.2506648244954077,0.04404867532156009,0.11340299448752066,0.1457943555993678,0.9184668989547038,-0.035734513170409335,-0.06706236998128434,F,,3.8896811702547275e-20,探索，非結論
62,118,F08+F11,2,0.07287713306522985,-0.2921584744177765,0.24944384451096932,0.0239111947320798,0.12645998382901735,0.16468071118218805,0.9184668989547038,-0.03501350576122904,-0.06828334996572274,F,,3.114613101036497e-20,探索，非結論
63,11,F12,1,0.10533182150645046,-0.4223790281565414,0.2493774891385293,0.013984609969102712,0.2013968420442212,0.2709995884268842,0.9184668989547038,-0.0025588173200084274,-0.06834970533816276,F,,3.114613101036497e-20,探索，非結論
64,103,F06+F17,2,0.0886793886163237,-0.3591950966242361,0.24688362800535013,0.03996252733733331,0.14517927668720396,0.21224190517532276,0.9184668989547038,-0.019211250210135186,-0.07084356647134193,F,,1.2767486616187778e-20,探索，非結論
65,106,F07+F09,2,0.11692179480718465,-0.47698196317303104,0.24512833573283324,0.03853372493653944,0.19616656879309902,0.2917700596157836,0.9183662346985857,0.009031155980725764,-0.07259885874385882,R,37.0,1.0208556022466322e-20,探索，非結論
66,64,F03+F17,2,0.07475328012673435,-0.30506364058058516,0.24504159192641523,0.01984790740234249,0.12824499047472776,0.1838955819036569,0.9184668989547038,-0.033137358699724534,-0.07268560255027684,F,,8.160109569916201e-21,探索，非結論
67,120,F08+F13,2,0.09824631792027799,-0.40634062193209725,0.24178315584872961,0.005146057599664935,0.17952744512343452,0.2618559783843061,0.9182481896666961,-0.009644320906180892,-0.07594403862796245,F,,5.425368327493308e-22,探索，非結論
68,88,F05+F14,2,0.10200233889649585,-0.4228841335015433,0.24120635137549704,0.02767509505585201,0.17910698234869923,0.23991606908037566,0.9184668989547038,-0.005888299929963037,-0.07652084310119503,F,,5.425368327493308e-22,探索，非結論
