arm,r,seed,eq_sha,tr,tr_prev,cagr,mdd,expo,slot,trades
E1,54,102054,af1079fbeecfb72f859738136a7681e1596e843a8ddc5c6887505d640be7a248,-0.7342799465173332,-0.7371234017904331,-0.130972993106522,-0.785868045640701,0.3017260364619261,0.31967771221062186,759
E1,55,102055,ca232f80d8dcf952badf995ea59cda0489307b270aefb0b4148311b16d657723,-0.6953994252094526,-0.6986589387434357,-0.118311479503041,-0.7844900817532172,0.2943735737264922,0.3112800726282342,763
E1,56,102056,7f2813ef6aeaf281755ac714858bc4ec05661ab97c91da26c89c7836701c9e76,-0.5306479404023867,-0.5356704502630893,-0.0769948049533764,-0.6591314068115568,0.2968193855004915,0.3142305946436677,755
E1,57,102057,f52969a5f830504ada08ec56141fd33af3f98b8396d47df99eacff3f0037a0cf,-0.6982345143121813,-0.701463689717923,-0.11918436154545287,-0.7531004898107748,0.29249472040557006,0.3094643667725828,754
E1,58,102058,78962c8eb6a996f2398362c2d8248a518e11dbc3505d3d0843073f83bcf72536,-0.72781345131789,-0.7307261041906152,-0.1287568903865881,-0.7674328590702959,0.30598169603262637,0.32353608715388105,751
E1,59,102059,06c156aac1d8b899cfe59465be1c796bcc2ee90b99b7a14a6a83c2ebe5d04e1b,-0.5524075764254301,-0.557197237650964,-0.0816241901967445,-0.6929298574874234,0.2887389760628035,0.30554925102133457,766
E1,60,102060,4035c1d3c28c8fae6f52152a5cd097d1ae1faef90aae4c4aff7d6b9ada265dbc,-0.6849746788273505,-0.6883457469831336,-0.11516310198630231,-0.752322322065922,0.3042033722537068,0.3218338629142079,750
E1,61,102061,21193de07427b402694f8bd2744831182b85b4a02dff79b47d88bdc418fdbb07,-0.6112460502107748,-0.6154060842540416,-0.09523225941065672,-0.699491292692934,0.3011625984892318,0.3179754879709487,750
E1,62,102062,d9e857ff76c64270f872b0cb7e2ce1c34710857a1ad442589c560a8ac6319021,-0.6723925412586527,-0.6758982501573817,-0.11148493173490048,-0.7376745329628622,0.30158957009449217,0.31933726736268725,758
E1,63,102063,abb308479ceafa497dc251ff291ff0b6cb2fadb2fddeeab63f579770a440c8b6,-0.6466461595686047,-0.6504273790425437,-0.10433622705384615,-0.7207040068057906,0.29751694124428496,0.31547889241942806,757
E1,64,102064,a8d566d5773cb9ae822b89be830c25d5cdbdb853654f7cc7d31ea468fd138c9a,-0.7569059080186639,-0.7595072441566187,-0.13912646805556927,-0.8043693820780783,0.2982941164428165,0.3153654108034498,752
E1,65,102065,3c1973ae8be6c1646617544541b86612480d0779450175d13fadbf3fabcae88d,-0.7719697914143256,-0.7744099297875151,-0.1449399825832104,-0.7972556619101174,0.3017366673759895,0.319734453018611,750
E1,66,102066,1b597e833ce95803ef41f24c4dd7244fbc9bb2e8f7371563a58d9b1c54746e26,-0.6203446538342117,-0.6244073242343819,-0.09749907075378716,-0.7200074521474931,0.3060363232639845,0.3238197911938266,751
E1,67,102067,ea62b7fbd0e10af06ef7b394bda4bfe254593f0638bc7c4465d77aa3159133ea,-0.7293999082465581,-0.7322955845333605,-0.12929618456078096,-0.8104138121565195,0.3062571466270421,0.323479346345892,755
E1,68,102068,929e3407ac4aae4763210d83ed7094b1bf8896f7827357ed82a45f0ba99851a4,-0.706054990481219,-0.7092004794135103,-0.12163074513711292,-0.786679573737931,0.29111963763066084,0.3082160689968225,758
E1,69,102069,bedd6955510e4362a1399eaa7dbcba84dab10c8cc7747f0b5169db64c3e3d41a,-0.546584552545017,-0.551436525619962,-0.08036594797636198,-0.6642248371589068,0.2971858639272761,0.3142873354516568,748
E1,70,102070,5cedd88c24ef3ed6ac5321da1a087766f21eacd47a33457b5016101c86affd74,-0.49855812807163835,-0.5039240292002891,-0.0705062944676138,-0.6195291424142177,0.2942975148621799,0.31139355424421244,756
E1,71,102071,4bd286933a2f48b8b83292fa22ccc70339392e2cad4c35f1bb67f87909700bb5,-0.7511339384069703,-0.7537970400654925,-0.1369840032532028,-0.8139752749363588,0.29732900046632815,0.3142873354516568,753
E1,72,102072,4e72b8e3077d818c2aa3839c30125b2a0e1f7d607401d3438d714d6874ff7751,-0.6125937622677469,-0.6167393745204683,-0.09556501385772131,-0.6946297488767406,0.2989148480412647,0.31598955969133,759
E1,73,102073,abe3552a3c3563d66d798d26df4f2470feada74c23a0604757c2168a4c70575b,-0.5943244022166878,-0.5986655138586819,-0.09113973867560776,-0.7150695474844027,0.3096658644584206,0.3275079437131185,751
E1,74,102074,f1b4b1aec6ee26391f9b331068374d265a1282bfd88540aa2d20ef79219baa15,-0.6753210879630168,-0.6787954586489919,-0.11232961812237074,-0.7073091143879401,0.2982621330362289,0.3153654108034498,754
E1,75,102075,0fa140da1bd2432b392890be4cca5e0f88c0d3238abc00052e84f2e5271db788,-0.6237080403734439,-0.6277347193643654,-0.0983493304062768,-0.720655348377453,0.29949043673076814,0.31644348615524287,753
E1,76,102076,e3ea8f66ec76a71690e8a1de908451c205e14759771c927f15ecdc749e058f56,-0.47635160023868184,-0.4819551321664999,-0.06623016869454357,-0.5728806367527857,0.2959286757274712,0.31264185201997274,756
E1,77,102077,259ff8359f6c5f63cd6a68913b71d09b79cdeb9a43a165888c3398921780b72e,-0.6895127027121121,-0.6928352097308056,-0.11652200447098782,-0.7720565076758551,0.30600033215832906,0.3236495687698593,757
E1,78,102078,758cc10ad49cfe5b2d75d76e42f8d8376f5590a7da22b411278b9756af05356f,-0.7047914200996288,-0.7079504304271531,-0.12123156601983054,-0.762327563522288,0.2974298613131463,0.3142873354516568,758
E1,79,102079,6e98487c2410cb527c53fdfeb0fe081b8f9e6b9fb156a86a1c50ee8950002374,-0.6158308901425451,-0.6199418620728497,-0.09636851939708124,-0.7177715980205633,0.2900055970702051,0.30713799364502953,756
E1,80,102080,7d19f821c6cd9ec6739ff1eab34ef44776eb45ea5c32c91ceba66622ac62fc2c,-0.7487701815363377,-0.7514585776235265,-0.13611941464907773,-0.810059487236855,0.3085050602233679,0.32711075805719475,758
