stage,cell,mode,r,seed,first,end,trades,eq_sha,cagr,mdd,vol,win_a,win_b,w_mean
main,1,win,141,1141,526,2859,163,771fab10c4e83a25,0.38460108965443696,-0.45231425634454503,0.2847760617889514,523.0,2836.0,
main,1,win,142,1142,526,2859,163,1f76be0035e26c16,0.4129535861737381,-0.40226429050734125,0.290605501687525,523.0,2836.0,
main,1,win,143,1143,526,2859,163,1503a8ff6a69fd20,0.38215686499552315,-0.44833357836056,0.28897515827108256,523.0,2836.0,
main,1,win,144,1144,526,2859,163,45cd98a856569a9a,0.44190260025340744,-0.43127324401914413,0.29023781578139046,523.0,2836.0,
main,1,win,145,1145,526,2859,163,3219b9e8c5db3eea,0.40385723903661797,-0.43107562157553697,0.28446058379522865,523.0,2836.0,
main,1,win,146,1146,526,2859,163,4d4236f81041b653,0.4157016978898509,-0.45120093467254746,0.28811348674709986,523.0,2836.0,
main,1,win,147,1147,526,2859,163,5d0bc39e86efc546,0.4164980965003777,-0.3438441378780123,0.2834377569421215,523.0,2836.0,
main,1,win,148,1148,526,2859,163,d4cbcaa8076cd977,0.3663047839984046,-0.4508416203177299,0.2837588690228949,523.0,2836.0,
main,1,win,149,1149,526,2859,163,bc45d6de10c62260,0.4417318025698025,-0.4040647888228481,0.2916795421854661,523.0,2836.0,
main,1,win,150,1150,526,2859,163,e98f3ced5f7c0f9c,0.4076181586120924,-0.4097492141678764,0.28807695294752017,523.0,2836.0,
main,1,win,151,1151,526,2859,163,846c98865cedc49b,0.4134190843341796,-0.3735648756020453,0.2872720208562492,523.0,2836.0,
main,1,win,152,1152,526,2859,163,c7054f89da5f6c4f,0.3667652930318943,-0.42893236383694866,0.2849165337133729,523.0,2836.0,
main,1,win,153,1153,526,2859,163,6e6ae2cf6f3458a3,0.41160177759761085,-0.37990562428306385,0.281891064183384,523.0,2836.0,
main,1,win,154,1154,526,2859,163,226e0ab8738d5853,0.39727359985708044,-0.40518187106428716,0.2859919489183579,523.0,2836.0,
main,1,win,155,1155,526,2859,163,ac1d9457b67d1c48,0.3998679929478215,-0.4331765624804212,0.28297231364629954,523.0,2836.0,
main,1,win,156,1156,526,2859,163,22762138197f4d2e,0.4056137669242541,-0.4265520235256483,0.2886822271635618,523.0,2836.0,
main,1,win,157,1157,526,2859,163,5921be0323df121f,0.4212329129008776,-0.36853135762887074,0.293319134863337,523.0,2836.0,
main,1,win,158,1158,526,2859,163,f7755afab01a6f79,0.3777509532886274,-0.4236688422407493,0.2811708561301991,523.0,2836.0,
main,1,win,159,1159,526,2859,163,30d28b5dd41ee887,0.4407511614606474,-0.41204414463294503,0.2907268732090952,523.0,2836.0,
main,1,win,160,1160,526,2859,163,5039f39ccb1d4cdf,0.42798937335890197,-0.3738660825587917,0.28652996870737324,523.0,2836.0,
main,1,win,161,1161,526,2859,163,01a551a086ae40b7,0.4092132348432653,-0.4701127929726305,0.28834834803949366,523.0,2836.0,
main,1,win,162,1162,526,2859,163,df25063777eecb21,0.42362474895303515,-0.3508363699586807,0.2917457313549359,523.0,2836.0,
main,1,win,163,1163,526,2859,163,2eb60b0d5f75e9dc,0.40878998088946616,-0.39124826368058496,0.28415737912940375,523.0,2836.0,
main,1,win,164,1164,526,2859,163,34c33e5779545beb,0.38702341917232297,-0.39017581463092693,0.284422548083695,523.0,2836.0,
main,1,win,165,1165,526,2859,163,88f38c963c18902d,0.40871404915416676,-0.37502373292653424,0.2875423757149702,523.0,2836.0,
main,1,win,166,1166,526,2859,163,9fcf3686ad6d9c55,0.4029017541312183,-0.43002108503860564,0.288512233782553,523.0,2836.0,
