stage,cell,mode,r,seed,first,end,trades,eq_sha,cagr,mdd,vol,win_a,win_b
dataonly,1,orig,87,1087,511,2859,166,11a921413ced0ae6,0.4682573831685519,-0.38248411707586827,0.28773320165958866,511,2859
dataonly,1,orig,88,1088,511,2859,166,4a60848185c29baa,0.48005520475962027,-0.39333961018877855,0.29030266852469416,511,2859
dataonly,1,orig,89,1089,511,2859,166,5b477521e659b0be,0.42768725526461693,-0.41912837959121096,0.28739492391460536,511,2859
dataonly,1,orig,90,1090,511,2859,166,e13db3e753036553,0.48191565747577814,-0.35151277329763014,0.29015068457148613,511,2859
dataonly,1,orig,91,1091,511,2859,166,7564ac6644b84141,0.4995011995613461,-0.38694869825537354,0.2925664481014559,511,2859
dataonly,1,orig,92,1092,511,2859,166,cfb2a34546a0b772,0.48452702892722743,-0.3610722446225043,0.29038654617588916,511,2859
dataonly,1,orig,93,1093,511,2859,166,c773a927807804df,0.4659001495941062,-0.39084401614637576,0.2866628812913657,511,2859
dataonly,1,orig,94,1094,511,2859,166,f50cc0dc797ca329,0.4980894815115835,-0.38484716997653406,0.2920648121613077,511,2859
dataonly,1,orig,95,1095,511,2859,166,ba7c71f623fe604d,0.45871605566771967,-0.4059881085334415,0.2893884052407832,511,2859
dataonly,1,orig,96,1096,511,2859,166,dbb165c7a6db03a8,0.5094566288705491,-0.3437977308167488,0.29077509857662714,511,2859
dataonly,1,orig,97,1097,511,2859,166,145ecba3adc58173,0.4774703493980099,-0.3861077691826299,0.28770353746984345,511,2859
dataonly,1,orig,98,1098,511,2859,166,de966aedda7e2675,0.47034623397281305,-0.3555400367155321,0.29078251774128316,511,2859
dataonly,1,orig,99,1099,511,2859,166,b365bf22d3aaab74,0.4625182437931785,-0.3817877350258443,0.29141007743296815,511,2859
dataonly,1,orig,100,1100,511,2859,166,52ee21856dcb2060,0.4972704181725254,-0.3820962188029319,0.29166873162312673,511,2859
dataonly,1,orig,101,1101,511,2859,166,766a8be2484e4641,0.45701555669807603,-0.3610722446225043,0.28659288391595683,511,2859
dataonly,1,orig,102,1102,511,2859,166,de7c1621f7421566,0.4554293208782827,-0.4133195206821013,0.28608416953137633,511,2859
dataonly,1,orig,103,1103,511,2859,166,090391873e349675,0.506728903031533,-0.3855059498972386,0.2941394417118452,511,2859
dataonly,1,orig,104,1104,511,2859,166,776a4e7a6c1d08ed,0.4976466738794467,-0.3687362748573955,0.29305778514731634,511,2859
dataonly,1,orig,105,1105,511,2859,166,7e4c3a4d7a00206c,0.47478349222060734,-0.4129086709115723,0.29451320086820004,511,2859
