stage,cell,mode,r,seed,first,end,trades,eq_sha,cagr,mdd,vol,win_a,win_b
winonly,3,win,18,7018,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,19,7019,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,20,7020,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,21,7021,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,22,7022,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,23,7023,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,24,7024,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,25,7025,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,26,7026,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,27,7027,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,28,7028,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,29,7029,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,30,7030,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,31,7031,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,32,7032,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,33,7033,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,34,7034,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,35,7035,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,36,7036,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,37,7037,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,38,7038,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,39,7039,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,40,7040,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,41,7041,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,42,7042,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,43,7043,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,44,7044,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,45,7045,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,46,7046,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,47,7047,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,48,7048,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,49,7049,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,50,7050,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,51,7051,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,52,7052,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,53,7053,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,54,7054,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,55,7055,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,56,7056,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,57,7057,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,58,7058,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,59,7059,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,60,7060,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,61,7061,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,62,7062,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,63,7063,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,64,7064,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,65,7065,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,66,7066,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,67,7067,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
