key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2016-03-09_5469,2016-03-09,5469,瀚宇博,twse,10.55,10.65,10.45,10.55,572049,6015869,0.0,,,187,
2016-03-09_5471,2016-03-09,5471,松翰,twse,36.45,36.80,36.25,36.55,124082,4526084,0.1,,,111,
2016-03-09_5474,2016-03-09,5474,聰泰,tpex,66.20,70.60,65.50,68.10,1623000,111212800,2.90,,33729787,1241,
2016-03-09_5475,2016-03-09,5475,德宏,tpex,4.49,4.49,4.12,4.21,1998000,8600020,0.02,,220654743,557,
2016-03-09_5478,2016-03-09,5478,智冠,tpex,72.20,73.20,71.70,72.40,553000,40043400,0.10,,127474332,407,
2016-03-09_5480,2016-03-09,5480,統盟,tpex,11.30,11.45,11.30,11.40,295000,3358150,0.05,,199097830,127,
2016-03-09_5481,2016-03-09,5481,華韡,tpex,15.00,15.40,15.00,15.25,417000,6303850,0.40,,97281891,169,
2016-03-09_5483,2016-03-09,5483,中美晶,tpex,39.85,39.95,38.75,39.25,6323000,247995300,,,580031151,3325,
2016-03-09_5484,2016-03-09,5484,慧友,twse,4.29,4.38,4.19,4.28,238200,1008949,0.04,,,85,
2016-03-09_5487,2016-03-09,5487,通泰,tpex,22.40,22.85,22.35,22.60,64000,1441500,,,22134516,28,
2016-03-09_5488,2016-03-09,5488,松普,tpex,5.85,5.85,5.70,5.78,78000,449650,0.05,,91586124,39,
2016-03-09_5489,2016-03-09,5489,彩富,tpex,52.00,52.30,51.80,52.00,45000,2341700,0.00,,104175441,28,
2016-03-09_5490,2016-03-09,5490,同亨,tpex,72.10,73.20,71.40,72.20,1134000,82069300,,,94396601,830,
2016-03-09_5491,2016-03-09,5491,連展,tpex,7.07,7.07,7.01,7.04,73000,513300,,,207290721,41,
2016-03-09_5493,2016-03-09,5493,三聯,tpex,33.60,33.60,32.45,32.70,133000,4345650,0.10,,44264695,63,
2016-03-09_5498,2016-03-09,5498,凱崴,tpex,9.07,9.08,9.04,9.08,98000,887580,0.05,,161895880,41,
2016-03-09_5508,2016-03-09,5508,永信建,tpex,31.00,31.35,29.85,30.05,718000,21833700,,,217428133,361,
