key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit
2026-09-02_00741B,2026-09-02,00741B,富邦全球非投等債,tpex,37.10,37.11,37.10,37.10,107194,3976912,0.03,
2026-09-02_00746B,2026-09-02,00746B,富邦A級公司債,tpex,34.11,34.21,34.11,34.19,299132,10223753,-0.05,
2026-09-02_00749B,2026-09-02,00749B,凱基新興債10+,tpex,30.67,30.70,30.66,30.70,120000,3683300,0.04,
2026-09-02_00750B,2026-09-02,00750B,凱基科技債10+,tpex,31.42,31.57,31.41,31.57,112085,3536710,0.01,
2026-09-02_00751B,2026-09-02,00751B,元大AAA至A公司債,tpex,30.17,30.21,30.12,30.21,4646398,140178136,-0.02,
2026-09-02_00752,2026-09-02,00752,中信中國50,twse,22.95,22.95,22.68,22.78,916672,20851194,-0.18,
2026-09-02_00753L,2026-09-02,00753L,中信中國50正2,twse,9.30,9.32,9.06,9.16,9958853,91137001,-0.2,
2026-09-02_00754B,2026-09-02,00754B,群益AAA-AA公司債,tpex,31.12,31.19,31.11,31.17,115000,3584270,-0.03,
2026-09-02_00755B,2026-09-02,00755B,群益投資級公用債,tpex,31.33,31.33,31.33,31.33,102067,3197599,-0.01,down
2026-09-02_00756B,2026-09-02,00756B,群益投等新興公債,tpex,30.11,30.17,30.09,30.16,193631,5835912,-0.05,
2026-09-02_00757,2026-09-02,00757,統一FANG+,twse,138.45,138.45,138.00,138.25,680029,93993355,-1.0,
2026-09-02_00758B,2026-09-02,00758B,復華能源債,tpex,49.85,49.85,49.85,49.85,100000,4985000,0.03,up
2026-09-02_00759B,2026-09-02,00759B,復華製藥債,tpex,52.40,52.40,52.40,52.40,100034,5241780,0.05,up
2026-09-02_00760B,2026-09-02,00760B,復華新興企業債,tpex,51.80,52.10,51.80,52.10,104413,5439519,0.05,
2026-09-02_00761B,2026-09-02,00761B,國泰A級公司債,tpex,32.80,32.81,32.73,32.79,254475,8342118,-0.03,
2026-09-02_00762,2026-09-02,00762,元大全球AI,twse,111.55,111.55,109.85,110.10,62412,6875940,-1.6,
2026-09-02_00763U,2026-09-02,00763U,期街口道瓊銅,twse,34.25,34.31,34.03,34.20,513037,17523045,-0.85,
2026-09-02_00764B,2026-09-02,00764B,群益25年美債,tpex,26.76,26.87,26.76,26.86,4360546,117097522,0.05,
2026-09-02_00768B,2026-09-02,00768B,復華20年美債,tpex,47.76,47.77,47.64,47.70,535848,25582592,-0.06,
2026-09-02_00770,2026-09-02,00770,國泰北美科技,twse,67.50,67.50,67.05,67.15,1000122,67216961,-0.5,
