r,天數_營飆有持股,天數_營飆空手,重疊÷營飆_逐日均值,重疊÷營飆_逐日中位,重疊÷#13_逐日均值,重疊÷#13_逐日中位,同時持有檔數_逐日均值,營飆持股數_逐日均值,#13持股數_逐日均值,營飆進場數,營飆進場_同檔同週也在#13進場,#13進場_同檔同週也在營飆進場
105,2156,157,0.3497137924433843,0.3,0.1758524789891643,0.1,2.8037181150021615,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
106,2156,157,0.34502937538651823,0.3,0.1737331648158012,0.10526315789473684,2.766104626026805,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
107,2156,157,0.34876479812704303,0.2857142857142857,0.1755741252717651,0.1,2.798097708603545,8.38651102464332,17.830955469087765,163,0.5276073619631901,0.12303290414878398
108,2156,157,0.3456945548782283,0.2857142857142857,0.17407816639331256,0.1,2.7730220492866406,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
109,2156,157,0.3441823482639809,0.2857142857142857,0.17308342975606053,0.1,2.7552961521833117,8.386078685689581,17.830955469087765,163,0.5153374233128835,0.12017167381974249
110,2156,157,0.3490953632535266,0.3,0.17572099865624452,0.1,2.8002594033722437,8.38651102464332,17.830955469087765,163,0.5276073619631901,0.12303290414878398
111,2156,157,0.34838674647348117,0.2857142857142857,0.17538288662851406,0.1,2.796800691742326,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
112,2156,157,0.3472312409812409,0.3,0.1747462981393061,0.10526315789473684,2.7859922178988326,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
113,2156,157,0.3426589142150367,0.2857142857142857,0.17246016401192105,0.1,2.7457846952010376,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
114,2156,157,0.3437564419707277,0.2857142857142857,0.17318606116377616,0.1,2.7539991353220925,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
115,2156,157,0.3418043407839326,0.2857142857142857,0.1718345181281935,0.1,2.735408560311284,8.386078685689581,17.830955469087765,163,0.5153374233128835,0.12017167381974249
116,2156,157,0.34476893571281325,0.2857142857142857,0.1732965111593836,0.1,2.763078253350627,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
117,2156,157,0.3497110315987867,0.2857142857142857,0.17595685300884126,0.1,2.8102031993082575,8.38651102464332,17.830955469087765,163,0.5460122699386503,0.12732474964234622
118,2156,157,0.349338869747033,0.3,0.17575204248282333,0.10526315789473684,2.8054474708171204,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
119,2156,157,0.3442762169802986,0.2857142857142857,0.17311626814245323,0.1,2.7604842196281885,8.386078685689581,17.830955469087765,163,0.5214723926380368,0.12160228898426323
120,2156,157,0.3446929204582266,0.2857142857142857,0.17361865639025786,0.1,2.762645914396887,8.38651102464332,17.830955469087765,163,0.5214723926380368,0.12160228898426323
121,2156,157,0.3449029287039491,0.3,0.17331420341899414,0.10526315789473684,2.766104626026805,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
122,2156,157,0.34345238095238095,0.3,0.17302260759982604,0.1,2.751405101599654,8.386078685689581,17.830955469087765,163,0.5153374233128835,0.12017167381974249
123,2156,157,0.3448841549606856,0.2857142857142857,0.17361547989855056,0.1,2.7639429312581063,8.38651102464332,17.830955469087765,163,0.5214723926380368,0.12160228898426323
124,2156,157,0.35053799658391493,0.3,0.17610532733557543,0.1,2.8119325551232164,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
125,2156,157,0.34577553965309066,0.2857142857142857,0.17402241076404762,0.1,2.7699956766104625,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
126,2156,157,0.35460564095768177,0.3,0.17791215624299336,0.1,2.848681366191094,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
127,2156,157,0.3450868009541479,0.2857142857142857,0.17373791153107424,0.1,2.7665369649805447,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
128,2156,157,0.3475745059928733,0.2857142857142857,0.1751551949581281,0.1,2.7907479463899696,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
129,2156,157,0.3431277056277056,0.2857142857142857,0.1728424222880618,0.1,2.748378728923476,8.386078685689581,17.830955469087765,163,0.5214723926380368,0.12160228898426323
130,2156,157,0.35328098771976324,0.3,0.17728961147405317,0.1111111111111111,2.8396022481625596,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
131,2156,157,0.3465671658273699,0.2857142857142857,0.17463544926564106,0.1,2.7825335062689147,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
132,2156,157,0.3560480902317637,0.3,0.1789861696194373,0.1111111111111111,2.861219195849546,8.386078685689581,17.830955469087765,163,0.5460122699386503,0.12732474964234622
133,2156,157,0.3432725579409253,0.2857142857142857,0.17265646577535926,0.1,2.7492434068309555,8.38651102464332,17.830955469087765,163,0.50920245398773,0.11874105865522175
134,2156,157,0.3528490075683953,0.3,0.1773223151958426,0.1,2.832684824902724,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
135,2156,157,0.34364564007421156,0.3,0.17336706504612903,0.10526315789473684,2.7539991353220925,8.38651102464332,17.830955469087765,163,0.5214723926380368,0.12160228898426323
136,2156,157,0.34564338722501986,0.2857142857142857,0.17437030747618382,0.1,2.7730220492866406,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
137,2156,157,0.34922769973790385,0.3,0.17597029028093322,0.1111111111111111,2.80587980977086,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
138,2156,157,0.34731737933268547,0.2857142857142857,0.1749984436434519,0.1,2.786856895806312,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
139,2156,157,0.35005411255411256,0.3,0.17617321371729114,0.10526315789473684,2.810635538261997,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
140,2156,157,0.34496918897429096,0.2857142857142857,0.17363550332525246,0.1,2.7656722870730652,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
141,2156,157,0.34206974997791323,0.3,0.1720125339425428,0.10263157894736842,2.7380025940337225,8.38651102464332,17.830955469087765,163,0.5276073619631901,0.12303290414878398
142,2156,157,0.35416132903377806,0.3,0.17760911950947536,0.1,2.845222654561176,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
143,2156,157,0.3454466310333657,0.2857142857142857,0.17388918383590893,0.1,2.769130998702983,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
144,2156,157,0.3446504034514239,0.2857142857142857,0.17322579436632954,0.1,2.7622135754431474,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
