seed,段,sid,vol60,回看無成交日比,段內無成交日比,段內報酬
102006,3,4551,0.02060556271454833,0.0,0.0,-0.5223403952376462
102006,3,3587,0.022840413971250816,0.0,0.0,-0.4397590291401213
102006,3,2444,0.02538648274607135,0.0,0.0,-0.3291139240506329
102006,3,5457,0.027625334250767186,0.0,0.0,-0.4715115906013264
102007,1,6782,0.02869918163273776,0.0,0.0,-0.49235473104812333
102007,1,8086,0.028774712608842453,0.0,0.0,-0.5367001549400225
102007,1,9902,0.03133954131530129,0.0,0.0,-0.24914672108590685
102007,1,6117,0.04417934121542039,0.0,0.0,-0.25677270237018757
102007,2,2633,0.008541656290662612,0.0,0.0,0.3525157784865254
102007,2,1102,0.014993159545584174,0.0,0.0,-0.059974938001076006
102007,2,1710,0.020066731896744447,0.0,0.0,-0.10160315719057067
102007,2,8489,0.02252461055786175,0.0,0.0,-0.17993313268201316
102007,2,5274,0.02383175583740755,0.0,0.0,-0.5544924085096343
102007,2,2408,0.024801506380465875,0.0,0.0,-0.5025236491916687
102007,2,4528,0.025346147289194838,0.0,0.0,-0.44063476048900385
102007,2,4147,0.026573363427795794,0.0,0.0,-0.36928105039618375
102007,3,3546,0.019008426607149808,0.0,0.0,-0.09545420505667401
102007,3,3293,0.024096395026024408,0.0,0.0,0.054355658240553995
102007,3,5439,0.025677515754117274,0.0,0.0,-0.33252723257882777
102008,1,2801,0.005054256768089063,0.0,0.0,0.16152455484549244
102008,1,2892,0.006823945357858899,0.0,0.0,-0.029438818229456154
102008,1,2002,0.007972373350947892,0.0,0.0,-0.14236180858859893
102008,1,1409,0.012658958405354302,0.0,0.0,-0.17781448149826395
102008,1,5871,0.015196489240589585,0.0,0.0,-0.0922280748145553
102008,1,1718,0.01606798605984335,0.0,0.0,-0.44686093897842816
102008,1,3078,0.016878542933513062,0.0,0.0,-0.42651343322823243
102008,1,2014,0.018497837927757593,0.0,0.0,-0.5387401116393103
102008,2,2912,0.007066831879868646,0.0,0.0,-0.08480827015007875
102008,2,2884,0.010056057339144341,0.0,0.0,-0.08394868428664948
102008,2,2409,0.018135784357655123,0.0,0.0,-0.418428559039705
102008,2,2515,0.01907414066965365,0.0,0.0,-0.4251979774135425
102008,2,2206,0.019138731048718955,0.0,0.0,-0.1703650760862374
102008,2,1314,0.019707541216893935,0.0,0.0,-0.44566207512393197
102008,2,8155,0.020528654502698043,0.0,0.0,-0.29859576869710613
102008,2,6274,0.02544697347465147,0.0,0.0,-0.30357139084640605
102008,3,2731,0.028567480737643664,0.0,0.0,-0.35446683461215056
102008,3,6538,0.03320762052192032,0.0,0.0,0.24681442697316558
102008,3,4967,0.03563731373916524,0.0,0.0,0.06470560858375762
102008,3,1796,0.038787830828323294,0.0,0.0,-0.30138248212283303
102009,1,2890,0.005795939058432656,0.0,0.0,0.24707743816945138
102009,1,2376,0.009663261308122714,0.0,0.0,0.09304133218068378
102009,1,2618,0.011306139792999517,0.0,0.0,-0.4145095027989266
102009,1,1707,0.011818424175035888,0.0,0.0,0.0701351418437961
102009,1,2395,0.012681110130890969,0.0,0.0,0.10103365780116769
102009,1,9951,0.013377093470458916,0.0,0.0,-0.6821367613257567
102009,1,6239,0.013687997934197357,0.0,0.0,-0.16359874823002185
102009,1,2356,0.015878716308827114,0.0,0.0,-0.10196905490901276
102009,2,2812,0.004927520320412905,0.0,0.0,0.1007109420312915
102009,2,4904,0.006849767712208783,0.0,0.0,0.15988454533796959
102009,2,9933,0.006945804789499671,0.0,0.0,0.34404873866692665
102009,2,6592,0.008448457574202853,0.0,0.0,0.029281711920513542
102009,2,6505,0.014300806375180275,0.0,0.0,-0.12873151035817954
102009,2,2337,0.016811512961037816,0.0,0.0,-0.1974142020410815
102009,2,6548,0.01761891405019826,0.0,0.032558139534883734,-0.24943878803318043
102009,2,3293,0.01775321592259306,0.0,0.0,-0.08240379195181213
102009,3,2812,0.00853933566236052,0.0,0.0,0.21110889930775545
102009,3,4123,0.012742170932568185,0.0,0.003676470588235281,-0.31157601273272684
102009,3,6414,0.012852097656579228,0.0,0.0,-0.20695864759647786
102009,3,2707,0.01399974523942959,0.0,0.0,-0.002842399953163377
102009,3,5309,0.01466769860104416,0.0,0.0,-0.13597950335041387
102009,3,1612,0.017169076454637378,0.0,0.0,0.06792789000503396
102009,3,5483,0.017391647441797754,0.0,0.0,-0.5203714606114089
102009,3,1609,0.01814280316562363,0.0,0.0,-0.1424598313794576
102010,1,6782,0.02869918163273776,0.0,0.0,-0.49235473104812333
102010,1,8086,0.028774712608842453,0.0,0.0,-0.5367001549400225
102010,1,9902,0.03133954131530129,0.0,0.0,-0.24914672108590685
102010,1,6117,0.04417934121542039,0.0,0.0,-0.25677270237018757
102010,2,2633,0.008486236519584406,0.0,0.0,0.16910527826339306
102010,2,1102,0.014849390488328031,0.0,0.0,0.14244165303247147
102010,2,1710,0.020103452074619933,0.0,0.0,0.04318070236368321
102010,2,8489,0.02251195325327562,0.0,0.0,0.025771691472337155
102010,2,5274,0.024388356648441252,0.0,0.0,-0.6111091675851378
102010,2,4528,0.02532514631030789,0.0,0.0,-0.40978428668396083
102010,2,2408,0.026640583630037868,0.0,0.0,-0.499669836555081
102010,2,4147,0.027261190720905482,0.0,0.0,-0.40901772593161967
