seed,peak_pos,trough_pos,深度,peak_pos_交件,trough_pos_交件,深度_交件,own_dd,peak_date,trough_date
102134,2326,2498,-0.44795146390081764,2326,2498,-0.44795146390081764,-0.44795146390081764,2024-07-17,2025-04-09
102135,2073,2498,-0.3625287007259993,2073,2498,-0.3625287007259993,-0.3625287007259993,2023-07-05,2025-04-09
102136,1711,2498,-0.4856180083417363,1711,2498,-0.4856180083417363,-0.4856180083417363,2021-12-30,2025-04-09
102137,2326,2498,-0.41159132779346497,2326,2498,-0.41159132779346497,-0.41159132779346497,2024-07-17,2025-04-09
102138,2326,2498,-0.40869189207964085,2326,2498,-0.40869189207964085,-0.40869189207964085,2024-07-17,2025-04-09
102139,2315,2498,-0.46052775527646683,2315,2498,-0.46052775527646683,-0.46052775527646683,2024-07-02,2025-04-09
102140,2071,2498,-0.3790358184479824,2071,2498,-0.3790358184479824,-0.3790358184479824,2023-07-03,2025-04-09
102141,839,936,-0.45517531737825645,839,936,-0.45517531737825645,-0.45517531737825645,2018-06-12,2018-10-30
102142,1235,1270,-0.3747368664084616,1235,1270,-0.3747368664084616,-0.3747368664084616,2020-01-20,2020-03-19
102143,2326,2498,-0.3956507028318884,2326,2498,-0.3956507028318884,-0.3956507028318884,2024-07-17,2025-04-09
102144,1235,1270,-0.37001445080624185,1235,1270,-0.37001445080624185,-0.37001445080624185,2020-01-20,2020-03-19
102145,838,936,-0.45270451702235937,838,936,-0.45270451702235937,-0.45270451702235937,2018-06-11,2018-10-30
102146,2309,2498,-0.3527203988741119,2309,2498,-0.3527203988741119,-0.3527203988741119,2024-06-24,2025-04-09
102147,839,936,-0.41171397103110097,839,936,-0.41171397103110097,-0.41171397103110097,2018-06-12,2018-10-30
102148,2326,2498,-0.404790543298444,2326,2498,-0.404790543298444,-0.404790543298444,2024-07-17,2025-04-09
102149,2326,2498,-0.4751792271074401,2326,2498,-0.4751792271074401,-0.4751792271074401,2024-07-17,2025-04-09
102150,839,935,-0.4133935085478635,839,935,-0.4133935085478635,-0.4133935085478635,2018-06-12,2018-10-29
102151,2326,2498,-0.4507866072425637,2326,2498,-0.4507866072425637,-0.4507866072425637,2024-07-17,2025-04-09
102152,2326,2498,-0.45636564937892043,2326,2498,-0.45636564937892043,-0.45636564937892043,2024-07-17,2025-04-09
102153,2079,2498,-0.43515740068143305,2079,2498,-0.43515740068143305,-0.43515740068143305,2023-07-13,2025-04-09
102154,852,936,-0.39613978853150145,852,936,-0.39613978853150145,-0.39613978853150145,2018-07-02,2018-10-30
102155,2073,2498,-0.4669347835269473,2073,2498,-0.4669347835269473,-0.4669347835269473,2023-07-05,2025-04-09
102156,1710,2498,-0.4917858822639567,1710,2498,-0.4917858822639567,-0.4917858822639567,2021-12-29,2025-04-09
102157,2071,2498,-0.46004352642514923,2071,2498,-0.46004352642514923,-0.46004352642514923,2023-07-03,2025-04-09
102158,839,935,-0.457076150338638,839,935,-0.457076150338638,-0.457076150338638,2018-06-12,2018-10-29
102159,2318,2498,-0.4165053087862517,2318,2498,-0.4165053087862517,-0.4165053087862517,2024-07-05,2025-04-09
102160,839,1270,-0.49158119924716703,839,1270,-0.49158119924716703,-0.49158119924716703,2018-06-12,2020-03-19
102161,2263,2498,-0.38335968294298284,2263,2498,-0.38335968294298284,-0.38335968294298284,2024-04-17,2025-04-09
102162,2315,2498,-0.4811758377173334,2315,2498,-0.4811758377173334,-0.4811758377173334,2024-07-02,2025-04-09
102163,799,936,-0.38902368352265715,799,936,-0.38902368352265715,-0.38902368352265715,2018-04-16,2018-10-30
102164,1710,1907,-0.40853257258043774,1710,1907,-0.40853257258043774,-0.40853257258043774,2021-12-29,2022-10-21
102165,2326,2498,-0.3861689458279376,2326,2498,-0.3861689458279376,-0.3861689458279376,2024-07-17,2025-04-09
102166,2326,2498,-0.47766491386389176,2326,2498,-0.47766491386389176,-0.47766491386389176,2024-07-17,2025-04-09
102167,839,936,-0.4162391601569312,839,936,-0.4162391601569312,-0.4162391601569312,2018-06-12,2018-10-30
102168,839,936,-0.4307150224072068,839,936,-0.4307150224072068,-0.4307150224072068,2018-06-12,2018-10-30
102169,1235,1270,-0.41002122004648645,1235,1270,-0.41002122004648645,-0.41002122004648645,2020-01-20,2020-03-19
102170,2326,2498,-0.41635653457844823,2326,2498,-0.41635653457844823,-0.41635653457844823,2024-07-17,2025-04-09
102171,2318,2498,-0.4092215377711186,2318,2498,-0.4092215377711186,-0.4092215377711186,2024-07-05,2025-04-09
102172,1235,1270,-0.33993309026070384,1235,1270,-0.33993309026070384,-0.33993309026070384,2020-01-20,2020-03-19
102173,839,1270,-0.4244789655396781,839,1270,-0.4244789655396781,-0.4244789655396781,2018-06-12,2020-03-19
102174,1174,1270,-0.3563575281822349,1174,1270,-0.3563575281822349,-0.3563575281822349,2019-10-24,2020-03-19
102175,860,936,-0.38524937486459954,860,936,-0.38524937486459954,-0.38524937486459954,2018-07-12,2018-10-30
102176,1235,1270,-0.42546755940968717,1235,1270,-0.42546755940968717,-0.42546755940968717,2020-01-20,2020-03-19
102177,2326,2498,-0.37963418664052684,2326,2498,-0.37963418664052684,-0.37963418664052684,2024-07-17,2025-04-09
102178,839,1270,-0.4279724585750888,839,1270,-0.4279724585750888,-0.4279724585750888,2018-06-12,2020-03-19
102179,2326,2498,-0.45049450147666414,2326,2498,-0.45049450147666414,-0.45049450147666414,2024-07-17,2025-04-09
102180,2079,2498,-0.4179383260196242,2079,2498,-0.4179383260196242,-0.4179383260196242,2023-07-13,2025-04-09
102181,1742,2498,-0.5220444686286387,1742,2498,-0.5220444686286387,-0.5220444686286387,2022-02-23,2025-04-09
102182,1696,2498,-0.4553442078169174,1696,2498,-0.4553442078169174,-0.4553442078169174,2021-12-09,2025-04-09
102183,2072,2498,-0.4331730423823007,2072,2498,-0.4331730423823007,-0.4331730423823007,2023-07-04,2025-04-09
102184,839,935,-0.41189495763048645,839,935,-0.41189495763048645,-0.41189495763048645,2018-06-12,2018-10-29
102185,641,934,-0.46269659384251316,641,934,-0.46269659384251316,-0.46269659384251316,2017-08-21,2018-10-26
102186,839,923,-0.3863573222590784,839,923,-0.3863573222590784,-0.3863573222590784,2018-06-12,2018-10-11
102187,1235,1270,-0.3729666047302056,1235,1270,-0.3729666047302056,-0.3729666047302056,2020-01-20,2020-03-19
102188,1695,2498,-0.4431668964076336,1695,2498,-0.4431668964076336,-0.4431668964076336,2021-12-08,2025-04-09
102189,1223,1270,-0.4118540874303369,1223,1270,-0.4118540874303369,-0.4118540874303369,2020-01-02,2020-03-19
102190,799,934,-0.40365623670482664,799,934,-0.40365623670482664,-0.40365623670482664,2018-04-16,2018-10-26
102191,1701,2498,-0.5349152440893011,1701,2498,-0.5349152440893011,-0.5349152440893011,2021-12-16,2025-04-09
102192,2326,2498,-0.3788310049218998,2326,2498,-0.3788310049218998,-0.3788310049218998,2024-07-17,2025-04-09
102193,2326,2498,-0.4133366237751578,2326,2498,-0.4133366237751578,-0.4133366237751578,2024-07-17,2025-04-09
102194,852,934,-0.45512447954831203,852,934,-0.45512447954831203,-0.45512447954831203,2018-07-02,2018-10-26
102195,1235,1270,-0.40037120678382,1235,1270,-0.40037120678382,-0.40037120678382,2020-01-20,2020-03-19
102196,2318,2498,-0.40063348073177885,2318,2498,-0.40063348073177885,-0.40063348073177885,2024-07-05,2025-04-09
102197,2079,2498,-0.42806594916134977,2079,2498,-0.42806594916134977,-0.42806594916134977,2023-07-13,2025-04-09
102198,2264,2498,-0.3867860140338304,2264,2498,-0.3867860140338304,-0.3867860140338304,2024-04-18,2025-04-09
102199,1174,1270,-0.4434742780950176,1174,1270,-0.4434742780950176,-0.4434742780950176,2019-10-24,2020-03-19
