key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price
2008-04-23_2704,2008-04-23,2704,國賓,twse,53.00,54.00,52.20,53.20,4449328,236531284,0.0,,,1557,,
2008-04-23_2705,2008-04-23,2705,六福,twse,30.00,30.65,29.85,30.20,3546754,107230868,-0.2,,,1285,,
2008-04-23_2706,2008-04-23,2706,第一店,twse,41.00,41.00,40.40,40.60,179714,7299822,-0.2,,,97,,
2008-04-23_2707,2008-04-23,2707,晶華,twse,536.00,540.00,528.00,537.00,139619,74735403,9.0,,,149,,
2008-04-23_2801,2008-04-23,2801,彰銀,twse,25.15,25.30,24.80,25.05,26871035,672102802,0.0,,,4753,,
2008-04-23_2809,2008-04-23,2809,京城銀,twse,11.80,11.95,11.45,11.60,1474332,17260317,-0.2,,,324,,
2008-04-23_2812,2008-04-23,2812,台中銀,twse,15.70,15.80,15.45,15.60,7438943,116171847,-0.1,,,1091,,
2008-04-23_2816,2008-04-23,2816,旺旺保,twse,17.15,17.25,17.00,17.15,39402,673600,0.0,,,19,,
2008-04-23_2820,2008-04-23,2820,華票,twse,8.41,8.45,8.38,8.40,3361804,28265097,-0.01,,,469,,
2008-04-23_2823,2008-04-23,2823,中壽,twse,26.50,27.10,25.95,26.90,4663644,124057545,0.6,,,1220,,
2008-04-23_2832,2008-04-23,2832,台產,twse,31.20,31.45,31.10,31.40,446617,13975629,0.2,,,192,,
2008-04-23_2833,2008-04-23,2833,台壽保,twse,57.00,58.30,56.60,58.20,2073369,119280302,0.8,,,901,,
2008-04-23_2834,2008-04-23,2834,臺企銀,twse,13.10,13.15,12.95,13.00,30364989,395717357,-0.05,,,3076,,
2008-04-23_2836,2008-04-23,2836,高雄銀,twse,19.15,19.35,19.10,19.20,2184005,41995694,0.0,,,468,,
2008-04-23_2837,2008-04-23,2837,萬泰銀,twse,3.26,3.26,3.26,3.26,2199998,7171993,-0.24,down,,112,,
2008-04-23_2838,2008-04-23,2838,聯邦銀,twse,7.87,7.89,7.75,7.82,894757,6968122,-0.07,,,187,,
2008-04-23_2841,2008-04-23,2841,台開,twse,22.40,22.40,21.50,21.95,2686600,58881129,-0.2,,,752,,
2008-04-23_2845,2008-04-23,2845,遠東銀,twse,13.10,13.40,12.90,13.10,19552166,259838400,0.0,,,1630,,
2008-04-23_2847,2008-04-23,2847,大眾銀,twse,9.96,10.00,9.74,9.79,4481241,44135489,-0.21,,,911,,
2008-04-23_2849,2008-04-23,2849,安泰銀,twse,8.58,8.60,8.44,8.53,440228,3756724,-0.07,,,160,,
2008-04-23_2850,2008-04-23,2850,新產,twse,19.00,19.30,18.95,19.20,946568,18091315,0.2,,,207,,
2008-04-23_2851,2008-04-23,2851,中再保,twse,20.10,20.10,19.80,19.90,533061,10622000,-0.2,,,160,,
2008-04-23_2852,2008-04-23,2852,第一保,twse,16.60,16.70,16.45,16.55,613974,10162921,0.05,,,133,,
2008-04-23_2854,2008-04-23,2854,寶來證,twse,23.30,23.30,22.85,23.25,18006931,415546346,0.25,,,3950,,
2008-04-23_2855,2008-04-23,2855,統一證,twse,28.30,28.40,27.60,28.30,5132544,144293577,-0.1,,,1422,,
2008-04-23_2856,2008-04-23,2856,元富證,twse,17.60,17.60,17.30,17.45,9331062,162857861,-0.15,,,1570,,
2008-04-23_2880,2008-04-23,2880,華南金,twse,30.55,30.90,30.30,30.85,8242726,252492257,0.3,,,2338,,
2008-04-23_2881,2008-04-23,2881,富邦金,twse,35.55,35.65,35.00,35.10,29886170,1055775938,-0.1,,,5324,,
2008-04-23_2882,2008-04-23,2882,國泰金,twse,82.60,83.60,81.90,83.30,36477117,3019650311,0.8,,,9494,,
2008-04-23_2883,2008-04-23,2883,凱基金,twse,14.80,14.90,14.60,14.70,27422166,403961498,-0.1,,,4130,,
2008-04-23_2884,2008-04-23,2884,玉山金,twse,18.75,18.95,18.60,18.75,2475373,46561998,-0.15,,,705,,
2008-04-23_2885,2008-04-23,2885,元大金,twse,29.50,29.85,29.15,29.65,37168864,1098134270,-0.15,,,7550,,
2008-04-23_2886,2008-04-23,2886,兆豐金,twse,26.90,26.90,26.15,26.15,17808621,474388823,-0.75,,,3269,,
2008-04-23_2887,2008-04-23,2887,台新新光金,twse,16.00,16.10,15.85,15.90,13842531,221142363,0.05,,,1983,,
2008-04-23_2887C,2008-04-23,2887C,新丙特,twse,,,,,0,0,0.0,,,0,無成交,
2008-04-23_2888,2008-04-23,2888,新光金,twse,28.20,28.55,27.90,28.05,103971311,2937611558,0.25,,,17042,,
2008-04-23_2889,2008-04-23,2889,國票金,twse,13.30,13.35,12.85,12.95,14849088,193291694,-0.4,,,1188,,
2008-04-23_2890,2008-04-23,2890,永豐金,twse,15.15,15.15,15.05,15.10,16614613,250972095,-0.05,,,1789,,
2008-04-23_2891,2008-04-23,2891,中信金,twse,31.00,31.30,30.80,30.90,24510107,760913652,0.05,,,3803,,
2008-04-23_2892,2008-04-23,2892,第一金,twse,35.00,35.55,34.90,35.15,34089682,1198905629,0.35,,,5652,,
2008-04-23_2901,2008-04-23,2901,欣欣,twse,35.00,35.30,33.80,34.25,156292,5365878,-1.15,,,67,,
2008-04-23_2903,2008-04-23,2903,遠百,twse,52.60,52.70,51.40,52.00,5554276,288028790,-0.4,,,1927,,
2008-04-23_2904,2008-04-23,2904,匯僑,twse,7.80,8.00,7.80,8.00,16000,127150,0.1,,,4,,
2008-04-23_2905,2008-04-23,2905,三商,twse,25.25,25.70,25.10,25.20,5664212,143542763,0.0,,,1309,,
2008-04-23_2906,2008-04-23,2906,高林,twse,13.10,13.15,12.95,12.95,3390576,44217489,0.1,,,429,,
2008-04-23_2908,2008-04-23,2908,特力,twse,20.20,20.25,20.00,20.20,451586,9085773,0.05,,,141,,
2008-04-23_2910,2008-04-23,2910,統領,twse,34.05,35.60,34.05,35.40,25000,866050,1.05,,,13,,
2008-04-23_2911,2008-04-23,2911,麗嬰房,twse,27.60,27.65,27.10,27.60,948933,26065509,0.25,,,332,,
2008-04-23_2912,2008-04-23,2912,統一超,twse,111.00,111.00,107.50,109.00,1677028,183206524,-2.0,,,721,,
2008-04-23_2913,2008-04-23,2913,農林,twse,28.25,28.30,27.30,27.80,15799256,438773097,-0.35,,,4675,,
2008-04-23_2915,2008-04-23,2915,潤泰全,twse,33.35,33.50,32.55,32.90,7600358,250656607,-0.4,,,2524,,
2008-04-23_2916,2008-04-23,2916,滿心,tpex,22.00,22.10,21.75,21.80,39000,850400,-0.20,,42215343,14,,
2008-04-23_2921,2008-04-23,2921,和樂,tpex,24.60,24.60,24.50,24.60,46000,1130350,0.00,,39949000,23,,
2008-04-23_3002,2008-04-23,3002,歐格,twse,19.25,19.30,19.05,19.10,342030,6541973,-0.15,,,107,,
2008-04-23_3003,2008-04-23,3003,健和興,twse,25.45,25.60,25.00,25.30,864099,21935984,-0.25,,,165,,
2008-04-23_3004,2008-04-23,3004,豐達科,twse,2.50,2.50,2.35,2.50,89028,221066,0.05,,,11,,
2008-04-23_3005,2008-04-23,3005,神基,twse,27.00,27.30,26.50,26.80,7244066,194779397,0.0,,,2250,,
2008-04-23_3006,2008-04-23,3006,晶豪科,twse,61.00,64.80,60.50,62.10,18431609,1155793512,1.4,,,8409,,
2008-04-23_3008,2008-04-23,3008,大立光,twse,380.00,413.00,372.50,413.00,6041002,2370583320,12.5,,,3785,,
2008-04-23_3009,2008-04-23,3009,奇美電,twse,43.85,43.85,43.00,43.00,124966610,5435377030,0.5,,,24575,,
2008-04-23_3010,2008-04-23,3010,華立,twse,66.90,67.10,65.80,66.80,571374,38129229,0.0,,,299,,
2008-04-23_3011,2008-04-23,3011,今皓,twse,9.16,9.27,9.02,9.17,580529,5310649,-0.06,,,189,,
2008-04-23_3013,2008-04-23,3013,晟銘電,twse,10.60,10.65,10.40,10.50,370604,3909160,-0.05,,,109,,
2008-04-23_3014,2008-04-23,3014,聯陽,twse,116.00,123.00,113.50,118.50,10811070,1299336291,3.5,,,4693,,
2008-04-23_3015,2008-04-23,3015,全漢,twse,37.50,38.00,37.15,37.70,856953,32304180,0.2,,,378,,
2008-04-23_3016,2008-04-23,3016,嘉晶,twse,43.50,44.45,43.00,43.65,2179024,95705939,0.65,,,1217,,
2008-04-23_3017,2008-04-23,3017,奇鋐,twse,19.20,20.20,19.00,20.15,7042620,138144591,0.9,,,2107,,
