fake_i,seed_f,n_selected,sig_rows,A,D,ratio_cell,ratio_seedmed,eq_sha_200
139,103139,3139,3139,0.06320238749359142,-0.42248627250452936,0.14959631023967493,0.14090228653541326,7bde8e0b1d2fff6d
140,103140,3139,3139,0.04297204019722267,-0.4543041232356234,0.09458870831100813,0.09463287750751465,af0f7ef304d9cc17
141,103141,3139,3139,0.07926228579589878,-0.38655457516219605,0.20504811193255387,0.20779959321733343,7147190ef0692b5e
142,103142,3139,3139,0.05652060303731632,-0.4076647306523991,0.13864481959688923,0.12954363445195263,81c576bc16493e29
143,103143,3139,3139,0.040798099047742675,-0.4116631845962087,0.09910553232434575,0.10183929801092198,9bedc3ee54eacf20
144,103144,3139,3139,0.044921284601458944,-0.3922756236716156,0.11451459609191457,0.11158439776167786,50cb986a55f96f1f
145,103145,3139,3139,0.008949113112024731,-0.420270375060531,0.02129370434624568,0.02047599887446249,282551410ffbbb23
146,103146,3139,3139,0.04133411176455015,-0.4348744788901243,0.0950483731996461,0.09294966726574269,aaf0b1aec0255a5e
147,103147,3139,3139,0.11419379791429107,-0.41240506790643405,0.27689717416421084,0.27337080512714623,3214ac6b6576dd7b
148,103148,3139,3139,0.043107198023489945,-0.43259264322081414,0.09964847691939632,0.1071633752635156,331fe8e82f4c8658
149,103149,3139,3139,0.02990123382661769,-0.41650749363965756,0.07179038620728109,0.0680170082832936,3a0c8aa462531492
150,103150,3139,3137,0.013194208259676321,-0.44214491047317495,0.029841366364606877,0.031080466602646212,8381b7baa19d8a17
151,103151,3139,3139,0.009689965839676962,-0.4284606439278263,0.022615766411696905,0.024548618172081055,f3196d01af32f37a
152,103152,3139,3139,0.06669800013015559,-0.4216008467628894,0.15820176985476242,0.15596535489284352,224ebac3489a9ea4
153,103153,3139,3139,0.09562225412898306,-0.4043369495845498,0.23649150597597748,0.23947683058975394,ec58efee4075549b
154,103154,3139,3138,0.0899911617428506,-0.40198581921459076,0.2238665083227996,0.2181034393982928,61cb3f7279815e62
155,103155,3139,3138,0.05001713883126879,-0.4095861765348079,0.12211627661466788,0.12324836715247689,5b8252f637924523
156,103156,3139,3139,0.029250467729710294,-0.42223849217586007,0.0692747541300134,0.07128474387031158,4cb1d665ba67db7c
157,103157,3139,3138,0.0402541497918778,-0.4453883587816496,0.09037988757046136,0.09490736730572327,9064654c1c50db31
158,103158,3139,3139,0.05158285288588682,-0.42605886786269975,0.12106977879523853,0.11869393778128942,cca46f9e5e76061e
159,103159,3139,3138,0.023420503199015785,-0.4165761159602558,0.056221425813212635,0.058764929468292544,bbc5d7e8b63a7916
160,103160,3139,3138,0.07272946380438883,-0.4069549862328745,0.17871623708959883,0.18835809367597384,1c41977c9b8b92ff
161,103161,3139,3139,0.08033694154299287,-0.3769698915568609,0.2131123555019383,0.19644831137492708,c7e5c39d1698ffc7
162,103162,3139,3138,0.014902011638460055,-0.48190460000266283,0.030923157069631026,0.029069231479231107,d104b5c7d2e81247
163,103163,3139,3138,0.005355438004261526,-0.4456690818770513,0.012016624491216005,0.011289258048856042,7c3981e3ea7e021c
164,103164,3139,3138,0.08089767852883223,-0.4226186814598069,0.191420024901398,0.18814006461069044,bc6ece25b2843c20
165,103165,3139,3139,0.04373572379589896,-0.42012410528959276,0.10410191475624042,0.09976788439034767,f9432b9cc845dca0
166,103166,3139,3139,0.054237952687741675,-0.3705845519524922,0.14635783494476268,0.14466792486139574,fb2343a01f606cd2
167,103167,3139,3139,0.03240666334140052,-0.40417849548065626,0.08017908845660365,0.08074699511463174,57eee848fe536c15
168,103168,3139,3138,0.04541552400801929,-0.397546460043836,0.11423953819891011,0.11666952971345548,88fc81f9bc2d6a07
169,103169,3139,3138,0.04373101245825772,-0.41426803295504244,0.10556212157215504,0.11462716321124228,2d077b4323e2e17c
170,103170,3139,3138,0.06290732457533843,-0.40928177103910274,0.153701750301819,0.15494926876591344,aa0df1f5c9ef77c4
