讀法,鍵,選項,是否◇,型態,買法,事件數,區段數,買到比例,同日比例_全部,同日比例_買到中,狀態,該讀法下可判定格數
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,zero,True,箱型,F,10653,38,0.020463719140148315,0.0,0.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,next,False,W 底,A,4897,38,1.0,1.0,1.0,基準（不判）,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,next,False,W 底,B,4897,38,0.6781703083520523,0.36593832958954464,0.5395965070761819,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,next,False,W 底,C,4897,38,0.5966918521543803,0.0,0.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,next,False,W 底,D,4897,38,0.7670002042066572,0.7670002042066572,1.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,next,False,W 底,E,4897,38,0.12150296099652849,0.0,0.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,next,False,W 底,F,4897,38,0.06555033694098428,0.0,0.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,next,False,頭肩底,A,3023,38,1.0,1.0,1.0,基準（不判）,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,next,False,頭肩底,B,3023,38,0.6040357260999007,0.31524975190208404,0.5219058050383352,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,next,False,頭肩底,C,3023,38,0.6232219649354945,0.0,0.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,next,False,頭肩底,D,3023,38,0.6321534899106848,0.6321534899106848,1.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,next,False,頭肩底,E,3023,38,0.15514389679126694,0.0,0.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,next,False,頭肩底,F,3023,38,0.057889513728084686,0.0,0.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,next,False,箱型,A,10653,38,1.0,1.0,1.0,基準（不判）,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,next,False,箱型,B,10653,38,0.8552520416784004,0.7320003754810851,0.8558884864449566,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,next,False,箱型,D,10653,38,0.2296066835633155,0.2296066835633155,1.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,next,False,箱型,E,10653,38,0.16192621796676993,0.0,0.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,next,False,箱型,F,10653,38,0.0205575894114334,0.0,0.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,limitbuy,False,W 底,A,4897,38,1.0,1.0,1.0,基準（不判）,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,limitbuy,False,W 底,B,4897,38,0.6773534817235042,0.36593832958954464,0.5402472113355442,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,limitbuy,False,W 底,C,4897,38,0.5952624055544211,0.0,0.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,limitbuy,False,W 底,D,4897,38,0.7670002042066572,0.7670002042066572,1.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,limitbuy,False,W 底,E,4897,38,0.12109454768225444,0.0,0.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,limitbuy,False,W 底,F,4897,38,0.06534613028384725,0.0,0.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,limitbuy,False,頭肩底,A,3023,38,1.0,1.0,1.0,基準（不判）,14
