stock_id,name,period,market,報表日期,出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
3714,富采,2026-08,twse,1150912,1150912,11508,3714,富采,光電業,2171584,2388026,1901002,-9.063636660572373,14.23365151641082,16128658,15184765,6.21605273443481,-
3715,定穎投控,2026-08,twse,1150912,1150912,11508,3715,定穎投控,電子零組件業,2932061,2531248,1593853,15.834600165610007,83.96056599949932,17971420,12267350,46.4979804114173,係產品組合優化及受惠於漲價效應
3716,中化控股,2026-08,twse,1150912,1150912,11508,3716,中化控股,生技醫療業,631760,669823,639358,-5.682545986029145,-1.1883795932795085,5529886,5651302,-2.14846065561529,-
3717,聯嘉投控,2026-08,twse,1150912,1150912,11508,3717,聯嘉投控,汽車工業,505042,513299,459099,-1.6086140826302018,10.007209773926757,4550829,459099,891.2522135748499,聯嘉光電投控（公司代號：3717）於114年8月份起100%認列聯嘉光電（原公司代號：6288）的營收。
4104,佳醫,2026-08,twse,1150912,1150912,11508,4104,佳醫,生技醫療業,944347,843458,714087,11.961354329439047,32.2453706621182,6516641,5741455,13.501560144597493,"一一五年六月因佳醫創照健康股份有限公司及其子公司成為合併個體，使本月營收增加75,921仟元及本年累計營收增加227,003仟元。"
4106,雃博,2026-08,twse,1150912,1150912,11508,4106,雃博,生技醫療業,230905,220706,202476,4.621079626290178,14.040676425848002,1708725,1581351,8.054758241528921,-
4108,懷特,2026-08,twse,1150912,1150912,11508,4108,懷特,生技醫療業,12674,11893,10072,6.5668880854284035,25.833995234312948,94994,84041,13.032924405944717,本期懷特痛寶出貨增加，營收較去年同期大幅成長近26%
4119,旭富,2026-08,twse,1150912,1150912,11508,4119,旭富,生技醫療業,148954,190796,51806,-21.9302291452651,187.52268077056712,988413,865442,14.20904000499167,單月營收受客戶訂單出貨時程影響呈現較大波動；但累計營收表現與去年同期相比差異不大。
4133,亞諾法,2026-08,twse,1150912,1150912,11508,4133,亞諾法,生技醫療業,26735,26309,31328,1.619217758181611,-14.661006128702757,229277,241410,-5.025889565469533,-
4137,麗豐-KY,2026-08,twse,1150912,1150912,11508,4137,麗豐-KY,生技醫療業,288042,318557,322602,-9.579133404696805,-10.712890806628602,2508021,2383174,5.238685886972584,-
4142,國光生,2026-08,twse,1150912,1150912,11508,4142,國光生,生技醫療業,97916,308215,72821,-68.23126713495449,34.461213111602426,555205,493239,12.563077939903373,月營收較去年同期增加主因為外銷勞務收入增加所致。
4148,全宇生技-KY,2026-08,twse,1150912,1150912,11508,4148,全宇生技-KY,生技醫療業,368353,352962,242418,4.360526062295658,51.949525200273904,2239096,1768585,26.60381039079264,"本月營收較去年增加51.95%,主係因客戶訂單需求增加"
4155,訊映,2026-08,twse,1150912,1150912,11508,4155,訊映,生技醫療業,197289,152838,132099,29.083735720174303,49.34935162264665,1172841,1084099,8.18578377067039,-
4164,承業醫,2026-08,twse,1150912,1150912,11508,4164,承業醫,生技醫療業,327600,326529,283824,0.3279953694771368,15.423642820903094,2992378,2660897,12.4574908386157,-
4169,泰宗,2026-08,twse,1150912,1150912,11508,4169,泰宗,生技醫療業,62177,61771,51050,0.6572663547619433,21.796278158667974,477928,446800,6.966875559534468,-
4178,永笙-KY,2026-08,twse,1150912,1150912,11508,4178,永笙-KY,生技醫療業,31968,32419,29322,-1.3911595052284154,9.023941068139964,248832,248210,0.2505942548648322,-
4190,佐登-KY,2026-08,twse,1150912,1150912,11508,4190,佐登-KY,生技醫療業,162908,157247,164581,3.6000686817554546,-1.0165207405472079,1394136,1458386,-4.405555182235704,-
4195,基米-創,2026-08,twse,1150912,1150912,11508,4195,基米-創,生技醫療業,50421,52096,72015,-3.215218058968059,-29.985419704228285,422610,430333,-1.7946566960934904,-
4306,炎洲,2026-08,twse,1150912,1150912,11508,4306,炎洲,塑膠工業,1215020,1274949,1140810,-4.700501745560018,6.505027129846337,9725508,8353870,16.419192541899744,-
4414,如興,2026-08,twse,1150912,1150912,11508,4414,如興,紡織纖維,1507589,1564975,1308056,-3.6668956373105,15.254163430311852,10204676,9222964,10.644213725652621,-
4426,利勤,2026-08,twse,1150912,1150912,11508,4426,利勤,紡織纖維,94351,90592,80289,4.149373013069587,17.51422984468607,621904,583995,6.491322699680648,-
4438,廣越,2026-08,twse,1150912,1150912,11508,4438,廣越,紡織纖維,2650528,2209017,2817154,19.98676334315218,-5.9146926295119115,12799445,12329481,3.8117095115358057,-
4439,冠星-KY,2026-08,twse,1150912,1150912,11508,4439,冠星-KY,紡織纖維,801385,813719,668208,-1.5157566678423386,19.93047075162225,5759847,5000677,15.181344445962017,-
4440,宜新實業,2026-08,twse,1150912,1150912,11508,4440,宜新實業,紡織纖維,51367,55277,84671,-7.073466360330698,-39.33341994307378,639945,644272,-0.6716107482553952,-
