date,stocks_traded,all_traded,collapse
2017-03-16,1615,1706,False
2017-03-17,1619,1710,False
2017-03-20,1611,1705,False
2017-03-21,1619,1713,False
2017-03-22,1617,1706,False
2017-03-23,1617,1708,False
2017-03-24,1622,1710,False
2017-03-27,1607,1698,False
2017-03-28,1622,1711,False
2017-03-29,1615,1704,False
2017-03-30,1614,1704,False
2017-03-31,1619,1711,False
2017-04-05,1616,1707,False
2017-04-06,1609,1704,False
2017-04-07,1619,1714,False
2017-04-10,1623,1717,False
2017-04-11,1616,1711,False
2017-04-12,1617,1707,False
2017-04-13,1606,1702,False
2017-04-14,1610,1703,False
2017-04-17,1605,1704,False
2017-04-18,1607,1706,False
2017-04-19,1608,1703,False
2017-04-20,1603,1696,False
2017-04-21,1605,1702,False
2017-04-24,1606,1702,False
2017-04-25,1614,1710,False
2017-04-26,1612,1710,False
2017-04-27,1612,1710,False
2017-04-28,1611,1705,False
2017-05-02,1611,1710,False
2017-05-03,1608,1705,False
2017-05-04,1615,1713,False
2017-05-05,1613,1710,False
2017-05-08,1612,1709,False
2017-05-09,1616,1711,False
2017-05-10,1612,1711,False
2017-05-11,1625,1726,False
2017-05-12,1625,1720,False
2017-05-15,1624,1723,False
2017-05-16,1617,1714,False
2017-05-17,1617,1715,False
2017-05-18,1614,1713,False
2017-05-19,1622,1718,False
2017-05-22,1618,1714,False
2017-05-23,1613,1712,False
2017-05-24,1618,1715,False
2017-05-25,1615,1715,False
2017-05-26,1620,1718,False
2017-05-31,1613,1709,False
2017-06-01,1619,1716,False
2017-06-02,1623,1722,False
2017-06-03,1604,1701,False
2017-06-05,1616,1716,False
2017-06-06,1624,1723,False
2017-06-07,1622,1720,False
2017-06-08,1619,1719,False
2017-06-09,1624,1727,False
2017-06-12,1621,1724,False
2017-06-13,1617,1720,False
2017-06-14,1622,1722,False
2017-06-15,1613,1713,False
2017-06-16,1626,1725,False
2017-06-19,1620,1721,False
2017-06-20,1625,1726,False
2017-06-21,1621,1722,False
2017-06-22,1621,1723,False
2017-06-23,1621,1726,False
2017-06-26,1625,1730,False
2017-06-27,1629,1736,False
2017-06-28,1622,1726,False
2017-06-29,1627,1730,False
2017-06-30,1609,1713,False
2017-07-03,1623,1727,False
2017-07-04,1614,1718,False
2017-07-05,1623,1726,False
2017-07-06,1621,1725,False
2017-07-07,1616,1718,False
2017-07-10,1620,1722,False
2017-07-11,1627,1729,False
2017-07-12,1627,1725,False
2017-07-13,1620,1725,False
2017-07-14,1617,1717,False
2017-07-17,1624,1729,False
2017-07-18,1615,1718,False
2017-07-19,1618,1724,False
2017-07-20,1624,1727,False
2017-07-21,1608,1708,False
2017-07-24,1608,1710,False
2017-07-25,1621,1724,False
2017-07-26,1627,1730,False
2017-07-27,1615,1718,False
2017-07-28,1610,1715,False
2017-07-31,1613,1717,False
2017-08-01,1617,1717,False
2017-08-02,1622,1726,False
2017-08-03,1611,1711,False
2017-08-04,1610,1711,False
2017-08-07,1621,1728,False
2017-08-08,1617,1718,False
2017-08-09,1623,1726,False
2017-08-10,1618,1728,False
2017-08-11,1619,1730,False
