stock_id,roc_year,month,high,low,avg_price,transactions,amount,volume,turnover,asof,days,n_markets,avg_close_ours,avg_close_trunc_ours,high_ours,high_date_ours,low_ours,low_date_ours,volume_ours,amount_ours,tx_ours,avg_price_ours,status,high_ok,low_ok,avg_price_ok,volume_ok,amount_ok,transactions_ok,qty_note
1210,115,3,54.9,50.2,52.91,52435,2567077334,48512003,5.42,20260909,22,1,52.81,52.81,54.9,2026-03-31,50.2,2026-03-06,48512003.0,2567077334.0,52435.0,52.91,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1210,115,4,56.0,52.7,54.28,49342,2510240462,46242894,5.16,20260909,20,1,54.27,54.26,56.0,2026-04-07,52.7,2026-04-27,46242894.0,2510240462.0,49342.0,54.28,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1210,115,5,54.1,51.6,52.47,38459,2290434766,43650142,4.87,20260909,20,1,52.46,52.46,54.1,2026-05-19,51.6,2026-05-28,43650142.0,2290434766.0,38459.0,52.47,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1210,115,6,56.0,51.7,54.56,64869,6356853132,116494825,13.01,20260909,21,1,54.73,54.73,56.0,2026-06-29,51.7,2026-06-02,116494825.0,6356853132.0,64869.0,54.56,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1210,115,7,59.5,55.0,57.55,61544,3529646541,61325229,6.85,20260909,22,1,57.5,57.5,59.5,2026-07-06,55.0,2026-07-01,61325229.0,3529646541.0,61544.0,57.55,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1210,115,8,56.5,51.4,53.36,42299,2802514297,52516026,5.86,20260909,21,1,53.14,53.14,56.5,2026-08-03,51.4,2026-08-31,52516026.0,2802514297.0,42299.0,53.36,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1213,115,1,10.75,9.65,10.04,295,3542456,352694,0.62,20260909,21,1,10.16,10.16,10.75,2026-01-07,9.65,2026-01-21,352694.0,3542456.0,295.0,10.04,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1213,115,2,10.4,9.65,9.93,111,1104769,111248,0.19,20260909,11,1,9.95,9.94,10.4,2026-02-10,9.65,2026-02-24,111036.0,1102639.0,109.0,9.93,比對,1.0,1.0,1.0,0.0,0.0,0.0,差額含零股（①②）
1213,115,3,10.0,9.12,9.65,210,2331985,241621,0.42,20260909,21,1,9.8,9.8,10.0,2026-03-17,9.12,2026-03-18,241621.0,2331985.0,210.0,9.65,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1213,115,4,9.85,8.33,8.98,359,4623107,514282,0.9,20260909,19,1,9.23,9.23,9.85,2026-04-01,8.33,2026-04-28,514281.0,4623099.0,358.0,8.98,比對,1.0,1.0,1.0,0.0,0.0,0.0,差額含零股（①②）
